relevant_property,sharpness,emp_mean,n,pred_mean_incremental_recursive,pred_lo_incremental_recursive,pred_hi_incremental_recursive,pred_mean_incremental_static,pred_lo_incremental_static,pred_hi_incremental_static,pred_mean_planned_usefulness_order,pred_lo_planned_usefulness_order,pred_hi_planned_usefulness_order,pred_mean_planned_usefulness_order_static,pred_lo_planned_usefulness_order_static,pred_hi_planned_usefulness_order_static,pred_mean_planned_usefulness_signed_order,pred_lo_planned_usefulness_signed_order,pred_hi_planned_usefulness_signed_order,pred_mean_planned_usefulness_signed_order_static,pred_lo_planned_usefulness_signed_order_static,pred_hi_planned_usefulness_signed_order_static,pred_mean_planned_usefulness_mixture,pred_lo_planned_usefulness_mixture,pred_hi_planned_usefulness_mixture,pred_mean_planned_usefulness_mixture_static,pred_lo_planned_usefulness_mixture_static,pred_hi_planned_usefulness_mixture_static,pred_mean_planned_usefulness_mixture_anchored,pred_lo_planned_usefulness_mixture_anchored,pred_hi_planned_usefulness_mixture_anchored,pred_mean_planned_usefulness_mixture_anchored_static,pred_lo_planned_usefulness_mixture_anchored_static,pred_hi_planned_usefulness_mixture_anchored_static
both,blurred,0.7456020075441603,598,0.67625546,0.6431779623031616,0.708099539577961,0.6762401,0.6430992305278778,0.7077499344944954,0.68756133,0.6554743900895119,0.7180566146969795,0.68835133,0.6559398218989372,0.7188784718513488,0.6875583,0.6557603687047958,0.7194076299667358,0.6884248,0.658050262928009,0.71881755143404,0.68675005,0.6540769591927529,0.718326310813427,0.6871868,0.6544709011912346,0.7183096811175347,0.6879055,0.6560904264450074,0.7194573774933815,0.6883129,0.6559396415948868,0.7205159172415733
both,sharp,0.7039198614267522,574,0.6828643,0.6486908167600631,0.7142140746116638,0.682753,0.6483917236328125,0.7133881777524947,0.6947094,0.6605912208557129,0.7256445899605751,0.694927,0.6596955090761185,0.7269614413380623,0.69480026,0.6606315121054649,0.7262633249163627,0.69492924,0.6604154497385025,0.7264989852905274,0.6942313,0.659286092221737,0.7264966890215874,0.6941439,0.6587574347853661,0.7266985282301903,0.6955753,0.6607132434844971,0.7275674641132355,0.6959386,0.6602579325437545,0.7275865450501442
first,blurred,0.8004220194738666,545,0.7208046,0.68776585906744,0.7532410994172096,0.72071904,0.6879150286316872,0.7523356065154075,0.7173646,0.6839258968830109,0.7499657005071639,0.71681434,0.6829900190234184,0.7490498423576355,0.7171448,0.6836544871330261,0.7493439078330993,0.71674633,0.6833571657538414,0.7479487255215644,0.7178196,0.6845547750592231,0.7496651157736778,0.7177669,0.6820909157395363,0.7497543975710869,0.720738,0.6870058014988899,0.7518704831600189,0.72079587,0.6886439666152,0.752449069917202
first,sharp,0.8430052735958975,569,0.7242041,0.6912437617778778,0.75511354804039,0.7241966,0.6896637514233589,0.7563799738883972,0.7200299,0.6870554372668266,0.75189910531044,0.7198748,0.6880979657173156,0.7505447790026665,0.7198966,0.6884230479598046,0.7514322280883788,0.7196033,0.6867606937885284,0.7509703248739242,0.720805,0.6880671083927155,0.7539554521441459,0.7207542,0.6883535578846931,0.75286635607481,0.72388524,0.6916044443845749,0.7542978242039681,0.7240755,0.6914075300097465,0.7547908499836922
second,blurred,0.5622611471576391,628,0.6402827,0.6062892228364944,0.6736545175313949,0.6402144,0.6071174383163452,0.6725979685783386,0.63026893,0.598145617544651,0.6632028505206108,0.6297302,0.5962871715426445,0.6648507013916969,0.6305221,0.5974295422434807,0.6636379331350326,0.63007414,0.5963439553976059,0.6632270112633705,0.63160443,0.598777337372303,0.6644927188754082,0.6312236,0.5981440946459771,0.6642763122916221,0.63262075,0.5990204423666,0.6650791257619858,0.63256794,0.6004308789968491,0.6661782875657082
second,sharp,0.5434676018329876,571,0.6441992,0.6083398208022117,0.679141029715538,0.6442,0.6087021648883819,0.6781625643372535,0.6329584,0.599384893476963,0.666732668876648,0.6328254,0.5981079757213592,0.6664563730359077,0.6334161,0.5995167344808578,0.6677607625722884,0.6330972,0.5998423278331757,0.6678488135337829,0.63472843,0.5978043839335442,0.6694463834166526,0.63419557,0.6014274418354034,0.6687984898686409,0.6353782,0.6002127662301063,0.6676254004240036,0.63556725,0.6013343289494515,0.6672228172421455
