model,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,diagnostic_status
principled_no_uncertainty_len,5,1.0,0,0,1142.0,1791.0,0,0.0,pass
principled_salience_stop,6,1.01,0,0,800.0,1324.0,0,0.0,pass
principled_salience_stop_regularized,6,1.0,0,0,1092.0,1736.0,0,0.0,pass
