relevant_property,sharpness,statesArray,annotation_category,probability,source
second,blurred,"[[9.0, 1.0, 1.0], [9.0, 0.0, 0.0], [9.0, 0.0, 0.0], [9.0, 0.0, 1.0], [10.0, 0.0, 1.0], [6.0, 0.0, 1.0]]",DFC,0.014109347,empirical
second,sharp,"[[9.0, 1.0, 1.0], [10.0, 0.0, 0.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [1.0, 0.0, 1.0]]",DFC,0.005952381,empirical
both,blurred,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [3.0, 1.0, 1.0], [2.0, 1.0, 1.0], [10.0, 0.0, 0.0], [6.0, 0.0, 1.0]]",C,0.008833922,empirical
both,sharp,"[[10.0, 1.0, 1.0], [10.0, 0.0, 0.0], [3.0, 1.0, 0.0], [2.0, 1.0, 1.0], [10.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",C,0.0,empirical
first,blurred,"[[10.0, 0.0, 1.0], [6.0, 0.0, 1.0], [6.0, 0.0, 1.0], [5.0, 0.0, 1.0], [6.0, 0.0, 0.0], [1.0, 1.0, 0.0]]",C,0.0054151625,empirical
first,sharp,"[[9.0, 0.0, 1.0], [1.0, 0.0, 1.0], [2.0, 0.0, 1.0], [1.0, 0.0, 0.0], [2.0, 0.0, 0.0], [2.0, 1.0, 1.0]]",C,0.0,empirical
second,blurred,"[[9.0, 1.0, 1.0], [9.0, 0.0, 0.0], [9.0, 0.0, 0.0], [9.0, 0.0, 1.0], [10.0, 0.0, 1.0], [6.0, 0.0, 1.0]]",C,0.62786597,empirical
second,sharp,"[[9.0, 1.0, 1.0], [10.0, 0.0, 0.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [10.0, 0.0, 1.0], [1.0, 0.0, 1.0]]",C,0.71626985,empirical
both,blurred,"[[9.0, 1.0, 1.0], [9.0, 0.0, 1.0], [3.0, 1.0, 1.0], [2.0, 1.0, 1.0], [10.0, 0.0, 0.0], [6.0, 0.0, 1.0]]",CD,0.008833922,empirical
both,sharp,"[[10.0, 1.0, 1.0], [10.0, 0.0, 0.0], [3.0, 1.0, 0.0], [2.0, 1.0, 1.0], [10.0, 0.0, 0.0], [1.0, 0.0, 1.0]]",CD,0.01192843,empirical
first,blurred,"[[10.0, 0.0, 1.0], [6.0, 0.0, 1.0], [6.0, 0.0, 1.0], [5.0, 0.0, 1.0], [6.0, 0.0, 0.0], [1.0, 1.0, 0.0]]",CD,0.0018050541,empirical
first,sharp,"[[9.0, 0.0, 1.0], [1.0, 0.0, 1.0], [2.0, 0.0, 1.0], [1.0, 0.0, 0.0], [2.0, 0.0, 0.0], [2.0, 1.0, 1.0]]",CD,0.0,empirical
