relevant_property,sharpness,statesArray,annotation_category,probability,source
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DF,,model
both,sharp,,DF,,model
first,blurred,,DF,,model
first,sharp,,DF,,model
second,blurred,,DF,,model
second,sharp,,DF,,model
both,blurred,,DFC,0.089287415,model
both,sharp,,DFC,0.08041981,model
first,blurred,,DFC,0.06010122,model
first,sharp,,DFC,0.058039475,model
second,blurred,,DFC,0.08072341,model
second,sharp,,DFC,0.083386876,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,DFC,,model
both,sharp,,DFC,,model
first,blurred,,DFC,,model
first,sharp,,DFC,,model
second,blurred,,DFC,,model
second,sharp,,DFC,,model
both,blurred,,C,0.07981417,model
both,sharp,,C,0.07973666,model
first,blurred,,C,0.06792778,model
first,sharp,,C,0.0646603,model
second,blurred,,C,0.1036953,model
second,sharp,,C,0.099280156,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,C,,model
both,sharp,,C,,model
first,blurred,,C,,model
first,sharp,,C,,model
second,blurred,,C,,model
second,sharp,,C,,model
both,blurred,,CD,0.04581648,model
both,sharp,,CD,0.050998382,model
first,blurred,,CD,0.043211382,model
first,sharp,,CD,0.03544055,model
second,blurred,,CD,0.04437635,model
second,sharp,,CD,0.04317295,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CD,,model
both,sharp,,CD,,model
first,blurred,,CD,,model
first,sharp,,CD,,model
second,blurred,,CD,,model
second,sharp,,CD,,model
both,blurred,,CDF,0.10086208,model
both,sharp,,CDF,0.09481412,model
first,blurred,,CDF,0.07131686,model
first,sharp,,CDF,0.05683147,model
second,blurred,,CDF,0.07933434,model
second,sharp,,CDF,0.08319718,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CDF,,model
both,sharp,,CDF,,model
first,blurred,,CDF,,model
first,sharp,,CDF,,model
second,blurred,,CDF,,model
second,sharp,,CDF,,model
both,blurred,,CF,0.07913518,model
both,sharp,,CF,0.065894894,model
first,blurred,,CF,0.056203876,model
first,sharp,,CF,0.051361054,model
second,blurred,,CF,0.12152817,model
second,sharp,,CF,0.11853226,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CF,,model
both,sharp,,CF,,model
first,blurred,,CF,,model
first,sharp,,CF,,model
second,blurred,,CF,,model
second,sharp,,CF,,model
both,blurred,,CFD,0.043361835,model
both,sharp,,CFD,0.041574243,model
first,blurred,,CFD,0.037038445,model
first,sharp,,CFD,0.031699415,model
second,blurred,,CFD,0.03961309,model
second,sharp,,CFD,0.040808402,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,CFD,,model
both,sharp,,CFD,,model
first,blurred,,CFD,,model
first,sharp,,CFD,,model
second,blurred,,CFD,,model
second,sharp,,CFD,,model
both,blurred,,F,0.060471494,model
both,sharp,,F,0.05598496,model
first,blurred,,F,0.07929989,model
first,sharp,,F,0.07641062,model
second,blurred,,F,0.058950417,model
second,sharp,,F,0.05861979,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,F,,model
both,sharp,,F,,model
first,blurred,,F,,model
first,sharp,,F,,model
second,blurred,,F,,model
second,sharp,,F,,model
both,blurred,,FD,0.07653925,model
both,sharp,,FD,0.086505555,model
first,blurred,,FD,0.12769516,model
first,sharp,,FD,0.14609174,model
second,blurred,,FD,0.05540836,model
second,sharp,,FD,0.058548603,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FD,,model
both,sharp,,FD,,model
first,blurred,,FD,,model
first,sharp,,FD,,model
second,blurred,,FD,,model
second,sharp,,FD,,model
both,blurred,,FDC,0.04356988,model
both,sharp,,FDC,0.041906346,model
first,blurred,,FDC,0.03370695,model
first,sharp,,FDC,0.035208203,model
second,blurred,,FDC,0.0396153,model
second,sharp,,FDC,0.040792804,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FDC,,model
both,sharp,,FDC,,model
first,blurred,,FDC,,model
first,sharp,,FDC,,model
second,blurred,,FDC,,model
second,sharp,,FDC,,model
both,blurred,,FC,0.029632676,model
both,sharp,,FC,0.026068943,model
first,blurred,,FC,0.02301007,model
first,sharp,,FC,0.023210945,model
second,blurred,,FC,0.03728358,model
second,sharp,,FC,0.037153356,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FC,,model
both,sharp,,FC,,model
first,blurred,,FC,,model
first,sharp,,FC,,model
second,blurred,,FC,,model
second,sharp,,FC,,model
both,blurred,,FCD,0.043361835,model
both,sharp,,FCD,0.041574243,model
first,blurred,,FCD,0.037038445,model
first,sharp,,FCD,0.031699415,model
second,blurred,,FCD,0.03961309,model
second,sharp,,FCD,0.040808402,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
both,blurred,,FCD,,model
both,sharp,,FCD,,model
first,blurred,,FCD,,model
first,sharp,,FCD,,model
second,blurred,,FCD,,model
second,sharp,,FCD,,model
