relevant_property,sharpness,emp_mean,n,pred_mean_incremental_recursive,pred_lo_incremental_recursive,pred_hi_incremental_recursive,pred_mean_incremental_static,pred_lo_incremental_static,pred_hi_incremental_static,pred_mean_incremental_free_color,pred_lo_incremental_free_color,pred_hi_incremental_free_color,pred_mean_incremental_static_free_color,pred_lo_incremental_static_free_color,pred_hi_incremental_static_free_color
both,blurred,0.7456020075441603,598,0.67625546,0.6431779623031616,0.708099539577961,0.6762401,0.6430992305278778,0.7077499344944954,0.6771926,0.6443811818957329,0.7080683380365371,0.67679185,0.643786047399044,0.7078686267137527
both,sharp,0.7039198614267522,574,0.6828643,0.6486908167600631,0.7142140746116638,0.682753,0.6483917236328125,0.7133881777524947,0.6876139,0.6520921379327774,0.7208978787064552,0.6873141,0.6523377373814583,0.7206204071640968
first,blurred,0.8004220194738666,545,0.7208046,0.68776585906744,0.7532410994172096,0.72071904,0.6879150286316872,0.7523356065154075,0.71820873,0.6833123922348022,0.7511638984084129,0.7182244,0.6842603012919426,0.7503985375165939
first,sharp,0.8430052735958975,569,0.7242041,0.6912437617778778,0.75511354804039,0.7241966,0.6896637514233589,0.7563799738883972,0.7217159,0.6887751877307892,0.7544952407479286,0.7217526,0.6881585896015168,0.7545089691877365
second,blurred,0.5622611471576391,628,0.6402827,0.6062892228364944,0.6736545175313949,0.6402144,0.6071174383163452,0.6725979685783386,0.6396702,0.6061055839061738,0.6717794165015221,0.63954836,0.6076384633779526,0.6719386249780654
second,sharp,0.5434676018329876,571,0.6441992,0.6083398208022117,0.679141029715538,0.6442,0.6087021648883819,0.6781625643372535,0.6424385,0.6082146987318993,0.6748564407229423,0.64273316,0.6103627189993859,0.6765207573771477
