model,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,diagnostic_status
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,8,1.0,0,0,496.0,606.0,0,0.0,pass
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,8,1.0,0,0,559.0,829.0,0,0.0,pass
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,8,1.63,5,1,7.0,18.0,0,0.0,fail
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,8,1.34,7,6,10.0,6.0,0,0.0,fail
