model,semantics,planning_scale,relevant_property,sharpness,category,empirical_proportion,model_proportion,condition_n,summary_type,signed_residual,abs_residual
principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,second,blurred,two_adjectives,0.2704291593180482,0.4053502,1701,length,0.13492104896442253,0.13492104896442253
principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,second,sharp,one_adjective,0.7452018530774321,0.34051085,1511,length,-0.40469100789310597,0.40469100789310597
principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,second,sharp,three_adjectives,0.02382528127068167,0.2538666,1511,length,0.2300413316405427,0.2300413316405427
principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,second,sharp,two_adjectives,0.23097286565188616,0.4056225,1511,length,0.17464964645024092,0.17464964645024092
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,blurred,one_adjective,0.05972797161442933,0.32320762,1691,length,0.26347964519160094,0.26347964519160094
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,blurred,three_adjectives,0.2891780011827321,0.27020445,1691,length,-0.018973546522316476,0.018973546522316476
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,blurred,two_adjectives,0.6510940272028385,0.4065879,1691,length,-0.2445061284716068,0.2445061284716068
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,sharp,one_adjective,0.06816677696889478,0.2880512,1511,length,0.21988441102320117,0.21988441102320117
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,sharp,three_adjectives,0.27001985440105886,0.30048016,1511,length,0.030460302735858258,0.030460302735858258
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,both,sharp,two_adjectives,0.6618133686300463,0.41146863,1511,length,-0.2503447435613817,0.2503447435613817
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,blurred,one_adjective,0.3269230769230769,0.29369056,1664,length,-0.03323251467484695,0.03323251467484695
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,blurred,three_adjectives,0.2542067307692308,0.30865374,1664,length,0.05444701130573565,0.05444701130573565
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,blurred,two_adjectives,0.4188701923076923,0.39765567,1664,length,-0.02121452643321109,0.02121452643321109
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,sharp,one_adjective,0.47148541114058357,0.24982864,1508,length,-0.2216567744943128,0.2216567744943128
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,sharp,three_adjectives,0.18899204244031828,0.34144443,1508,length,0.15245239029512483,0.15245239029512483
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,0.0,first,sharp,two_adjectives,0.3395225464190981,0.4087269,1508,length,0.06920435439686562,0.06920435439686562
