model,semantics,planning_scale,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,order,overall,24,0.21856302331139976,0.29648884507193524,0.5538412452798656
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,overinformativeness,overall,14,0.26794376437956663,0.32294036322302333,0.30349266694756843
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.0,selection,overall,24,0.15649887652011854,0.1847726248676326,0.3513521664942048
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,length,overall,18,0.22135146128431735,0.2690353119200023,0.39822383406848944
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,order,overall,24,0.2496898020685218,0.3369533800176027,0.7472525840285569
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,overinformativeness,overall,14,0.28459474232319143,0.34815939450426425,0.37499329033358225
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,1.5,selection,overall,24,0.17052718465712804,0.20212783502440604,0.43620223353467846
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,2.0,length,overall,18,0.2287499722569761,0.2795858837721619,0.44892688723885127
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,2.0,order,overall,24,0.2671035895928929,0.3594598326735252,0.9017212978026652
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,2.0,overinformativeness,overall,14,0.2941071135737527,0.3619588989475221,0.42462207974582833
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,2.0,selection,overall,24,0.17904406898840905,0.21323654646961152,0.5144064124093619
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,3.0,length,overall,18,0.2356825193659707,0.28874799972321374,0.49926986157938663
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,3.0,order,overall,24,0.28362257947637254,0.37968389302505756,1.1123838633830552
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,3.0,overinformativeness,overall,14,0.3030203820419624,0.3736622796091832,0.4736293717837252
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,context_updating,3.0,selection,overall,24,0.18912450963363261,0.22563896989828564,0.6370790876216368
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,length,overall,18,0.16718778995369743,0.199390534371131,0.19613661567874419
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,order,overall,24,0.12152507418177283,0.17188810890798673,0.20883995817509846
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,overinformativeness,overall,14,0.21197631030623074,0.24815381778007678,0.17804162568848567
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.0,selection,overall,24,0.11024904196888168,0.14177571846848253,0.20694588519615112
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.25,length,overall,18,0.17591468990474055,0.20918246523116046,0.2162340061590907
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.25,order,overall,24,0.13757597520950512,0.19913216406185374,0.2661994338005173
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.25,overinformativeness,overall,14,0.2261760288131549,0.2647608878316895,0.19737319709852685
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.25,selection,overall,24,0.12234376677808308,0.1502805596887694,0.23518538344809453
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.5,length,overall,18,0.18820578439993108,0.22267224080834855,0.2468004732473569
principled_salience_stop_regularized_plannedprefix_2x2_inc_static,context_fixed,0.5,order,overall,24,0.16849725738491542,0.23361951398902506,0.3501858429649902
