stage,criterion,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,max_target_worst_abs_residual_harm,max_r_hat,max_divergences,positive_delta_elpd_over_matched_anchor,ppc_rmse_gain
forward_audit,run_gpu_pilot_if_any_gate_passes,0.005,0.02,0.03,0.05,,,,
posterior_pilot,advance_if_diagnostic_clean_and_elpd_or_pareto_ppc,,,0.03,,1.05,0.0,0.0,0.005
