candidate,baseline,semantics,planning_scale,summary_type,relevant_property,sharpness,category,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,selection,first,sharp,size_only,-0.125302488927974,-0.11567421538127828,0.125302488927974,0.11567421538127828,0.00962827354669571
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,selection,first,blurred,size_colour,0.1595457780819673,0.2233132261496324,0.1595457780819673,0.2233132261496324,-0.0637674480676651
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,selection,first,sharp,size_colour,0.18908472430326578,0.23003065657236216,0.18908472430326578,0.23003065657236216,-0.040945932269096375
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,both,blurred,redundant_form,-0.3726883907067148,-0.39527223298424163,0.3726883907067148,0.39527223298424163,-0.022583842277526855
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,both,sharp,redundant_form,-0.29741680562930106,-0.3140437597079754,0.29741680562930106,0.3140437597079754,-0.016626954078674316
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,both,blurred,colour_only,0.2207475965771007,0.07489446456759445,0.2207475965771007,0.07489446456759445,0.14585313200950623
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,both,sharp,colour_only,0.16282773448843424,0.0416715560736126,0.16282773448843424,0.0416715560736126,0.12115617841482164
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,overinformativeness,second,blurred,over_minimal_length,0.3102694255054032,0.48408217250705116,0.3102694255054032,0.48408217250705116,-0.17381274700164795
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,overinformativeness,second,sharp,over_minimal_length,0.4046934516835418,0.575583902161142,0.4046934516835418,0.575583902161142,-0.17089045047760015
principled_salience_stop_regularized_plannedprefix_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.0,selection,second,blurred,colour_only,0.016206537955372136,-0.11775788886013766,0.016206537955372136,0.11775788886013766,-0.10155135090476552
