relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,planning_scale,empirical_proportion,condition_n,signed_residual,abs_residual
first,blurred,DFC,0.038745467,4,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.02283653846153846,1664,0.015908928158191536,0.015908928158191536
first,blurred,F,0.030341344,10,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.014423076923076924,1664,0.01591826703112859,0.01591826703112859
first,blurred,FC,0.015145104,13,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.017427884615384616,1664,-0.002282780236922778,0.002282780236922778
first,blurred,FCD,0.0028293591,14,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.001201923076923077,1664,0.001627436068911965,0.001627436068911965
first,blurred,FD,0.0012601184,11,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0030048076923076925,1664,-0.001744689249720138,0.001744689249720138
first,blurred,FDC,0.0048028356,12,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0018028846153846155,1664,0.0029999510241815676,0.0029999510241815676
first,sharp,C,0.1789955,5,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.2592838196286472,1508,-0.08028831465332831,0.08028831465332831
first,sharp,CD,0.009551241,6,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,1508,0.00955124106258154,0.00955124106258154
first,sharp,CDF,0.044099484,7,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.015915119363395226,1508,0.02818436427560662,0.02818436427560662
first,sharp,CF,0.09207303,8,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.1319628647214854,1508,-0.03988983395166043,0.03988983395166043
first,sharp,CFD,0.02431671,9,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.000663129973474801,1508,0.023653579515155492,0.023653579515155492
first,sharp,D,0.05108672,0,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.17639257294429708,1508,-0.1253058528651135,0.1253058528651135
first,sharp,DC,0.21994662,1,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.03978779840848806,1508,0.18015882444002268,0.18015882444002268
first,sharp,DCF,0.22171319,2,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.15119363395225463,1508,0.07051955135810914,0.07051955135810914
first,sharp,DF,0.07712516,3,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.15185676392572944,1508,-0.07473160203951423,0.07473160203951423
first,sharp,DFC,0.04567796,4,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.01856763925729443,1508,0.0271103206616814,0.0271103206616814
first,sharp,F,0.019709114,10,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.03580901856763926,1508,-0.016099904582339196,0.016099904582339196
first,sharp,FC,0.008881377,13,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.014588859416445624,1508,-0.005707482360204588,0.005707482360204588
first,sharp,FCD,0.0016890923,14,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.000663129973474801,1508,0.001025962282653987,0.001025962282653987
first,sharp,FD,0.0010990864,11,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.001326259946949602,1508,-0.00022717358035576432,0.00022717358035576432
first,sharp,FDC,0.0040356684,12,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.001989389920424403,1508,0.002046278527189313,0.002046278527189313
second,blurred,C,0.24313171,5,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.22692533803644915,1701,0.016206374042599003,0.016206374042599003
second,blurred,CD,0.008340002,6,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,1701,0.008340002037584782,0.008340002037584782
second,blurred,CDF,0.03875957,7,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.001763668430335097,1701,0.036995902138464876,0.036995902138464876
second,blurred,CF,0.1865582,8,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.23633156966490299,1701,-0.04977336775583774,0.04977336775583774
second,blurred,CFD,0.044108395,9,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0005878894767783657,1701,0.0435205050566174,0.0435205050566174
second,blurred,D,0.02500885,0,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,1701,0.025008849799633026,0.025008849799633026
second,blurred,DC,0.08612438,1,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0005878894767783657,1701,0.08553649343633428,0.08553649343633428
second,blurred,DCF,0.08064381,2,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.027630805408583186,1701,0.05301300492323825,0.05301300492323825
second,blurred,DF,0.06837824,3,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.005291005291005291,1701,0.06308723457906612,0.06308723457906612
second,blurred,DFC,0.03426479,4,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.011169900058788948,1701,0.023094891698079413,0.023094891698079413
second,blurred,F,0.110008605,10,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.46149323927101704,1701,-0.35148463444647404,0.35148463444647404
second,blurred,FC,0.054041576,13,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.027630805408583186,1701,0.0264107702318568,0.0264107702318568
second,blurred,FCD,0.011109081,14,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0,1701,0.011109081096947193,0.011109081096947193
second,blurred,FD,0.0019078008,11,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.0005878894767783657,1701,0.00131991131314411,0.00131991131314411
