relevant_property,sharpness,emp_mean,n,pred_mean_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,pred_lo_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,pred_hi_production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,pred_mean_production_anchor_reliabilitybackup_logalpha_2x2_inc_static,pred_lo_production_anchor_reliabilitybackup_logalpha_2x2_inc_static,pred_hi_production_anchor_reliabilitybackup_logalpha_2x2_inc_static,pred_mean_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,pred_lo_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,pred_hi_production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,pred_mean_production_anchor_reliabilitybackup_logalpha_2x2_glob_static,pred_lo_production_anchor_reliabilitybackup_logalpha_2x2_glob_static,pred_hi_production_anchor_reliabilitybackup_logalpha_2x2_glob_static
both,blurred,0.7456020075441603,598,0.6687525,0.6366753175854682,0.6996893018484116,0.6687942,0.6372418031096458,0.6994422525167465,0.6810968,0.6502784863114357,0.7109914392232894,0.68110305,0.6503255069255829,0.7109447404742241
both,sharp,0.7039198614267522,574,0.68012834,0.6483669281005859,0.7118085414171219,0.6802288,0.6484710901975632,0.7111809849739075,0.6811831,0.6494986966252327,0.7130038648843765,0.68120056,0.6496161177754403,0.7130303353071212
first,blurred,0.8004220194738666,545,0.7180253,0.6864468738436699,0.7488509729504585,0.718128,0.6855922117829323,0.7485612064599991,0.6814718,0.6485244035720825,0.7131229907274246,0.6814916,0.6487628728151321,0.7131997227668763
first,sharp,0.8430052735958975,569,0.7512938,0.7192342132329941,0.7815993502736092,0.75141823,0.7196597963571548,0.782086992263794,0.681611,0.6497579380869866,0.7127358376979828,0.68161976,0.6498394444584846,0.7127778112888336
second,blurred,0.5622611471576391,628,0.6444186,0.6120574817061424,0.677426166832447,0.6443795,0.6118555381894112,0.6776535257697105,0.68130624,0.6513185366988182,0.7114728793501854,0.6812866,0.6510606110095978,0.711599662899971
second,sharp,0.5434676018329876,571,0.6580946,0.6227224409580231,0.6929433077573777,0.6581547,0.6230622291564941,0.6924564659595489,0.68132704,0.6493032068014145,0.7123964995145797,0.6813199,0.6494327291846276,0.712517412006855
