model,n_observations,max_pareto_k,mean_pareto_k,n_pareto_k_gt_0_5,n_pareto_k_gt_0_7,n_pareto_k_gt_1_0,frac_pareto_k_gt_0_7,loo_warning
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,3485,inf,inf,1648,1632,1619,0.4682926829268293,True
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,3485,inf,inf,1648,1634,1621,0.46886657101865137,True
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,3485,inf,inf,1618,1617,1617,0.46398852223816356,True
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,3485,inf,inf,1617,1617,1617,0.46398852223816356,True
