semantics,summary_type,relevant_property,sharpness,category,global_proportion,incremental_proportion,global_model,incremental_model,delta_incremental_minus_global,abs_delta_incremental_global
context_fixed,length,both,blurred,one_adjective,0.09117908583883219,0.15474199058282123,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.06356290474398904,0.06356290474398904
context_fixed,length,first,sharp,three_adjectives,0.23851036502449083,0.2999893312645169,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.06147896624002605,0.06147896624002605
context_fixed,length,both,sharp,two_adjectives,0.4822413184399083,0.4323001326142515,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,-0.04994118582565682,0.04994118582565682
context_fixed,length,both,sharp,one_adjective,0.0863771934728718,0.13430366260732254,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.04792646913445074,0.04792646913445074
context_fixed,length,both,blurred,three_adjectives,0.4122366910666743,0.3658186548293871,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,-0.04641803623728724,0.04641803623728724
context_fixed,length,first,sharp,two_adjectives,0.5847140718035811,0.5415752741426768,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,-0.04313879766090434,0.04313879766090434
context_fixed,length,first,blurred,two_adjectives,0.5842362196174669,0.5427607485416458,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,-0.04147547107582106,0.04147547107582106
context_fixed,length,first,blurred,one_adjective,0.14549348926153963,0.17355360635019249,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.02806011708865286,0.02806011708865286
context_fixed,length,second,sharp,one_adjective,0.7029513262322702,0.7264438936404506,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.023492567408180398,0.023492567408180398
context_fixed,length,second,blurred,one_adjective,0.706963558360325,0.7273605720477169,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.020397013687391885,0.020397013687391885
