summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,over_minimal_length,0.29704867376772975,504
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,minimal_length,0.47976091442394464,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,over_minimal_length,0.3659652976233327,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,under_minimal_length,0.1542737879527226,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,minimal_length,0.43148988646014996,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,over_minimal_length,0.43341787340555465,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,under_minimal_length,0.13509224013429527,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,minimal_length,0.17347848624318346,554
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,over_minimal_length,0.8265215137568165,554
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,minimal_length,0.15846409429306785,502
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,over_minimal_length,0.841535905706932,502
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,minimal_length,0.7277333243524918,567
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,over_minimal_length,0.2722666756475082,567
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,minimal_length,0.7259958674599919,504
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,over_minimal_length,0.27400413254000816,504
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,minimal_length,0.4794393545877917,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,over_minimal_length,0.3658186548293871,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,under_minimal_length,0.15474199058282123,566
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,minimal_length,0.4323001326142515,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,over_minimal_length,0.4333962047784259,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,under_minimal_length,0.13430366260732254,503
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,minimal_length,0.17355360635019249,554
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,over_minimal_length,0.8264463936498074,554
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,minimal_length,0.15843539459280634,502
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,over_minimal_length,0.8415646054071937,502
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,minimal_length,0.7273605720477169,567
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,over_minimal_length,0.27263942795228324,567
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,minimal_length,0.7264438936404506,504
overinformativeness,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,over_minimal_length,0.27355610635954924,504
