model,architecture,architecture_short,semantics,semantics_short,utterance_label,length_class,selection_class,order_class,n_conditions,r,mae,rmse,max_abs_residual
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9216771671569549,0.04621252154610448,0.0854926357934961,0.20681053970348787
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.8778833376458214,0.05544843263817146,0.06832488178906779,0.10835012707465992
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,F,one_adjective,redundant_form,single_adjective,6,0.678262136730525,0.044536090516436026,0.052480714873409356,0.08193917349960497
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,FC,two_adjectives,redundant_form,form_initial_multi,6,0.9097323211637067,0.03445528210392812,0.037846331372660795,0.05605348179310597
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.28566500890293617,0.003850004100495441,0.004378674580415728,0.007228252845530216
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,0.654004128770257,0.003833559342826656,0.005008406217154949,0.01075035262827585
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.5045270724858621,0.011803981709013776,0.013674466153738124,0.023242900066310853
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,C,one_adjective,colour_only,single_adjective,6,0.9951020060878806,0.037403281746333644,0.04657244599698772,0.08422191823241043
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,CD,two_adjectives,size_colour,colour_initial_multi,6,0.009934717471989929,0.004942838881116828,0.005805781028983352,0.009544109827872403
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,CDF,three_adjectives,redundant_form,colour_initial_multi,6,0.7223511335881881,0.01867707929145916,0.024059528572262293,0.047599776888207754
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8879047947706656,0.05225581336436395,0.06295730346758666,0.09726450880048965
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,CFD,three_adjectives,redundant_form,colour_initial_multi,6,0.7323336852353932,0.010427191036942571,0.012362362979190316,0.02321662436190588
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,D,one_adjective,size_only,single_adjective,6,0.8249824614702026,0.04167718463510633,0.06622951782569751,0.15289546865803313
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,DC,two_adjectives,size_colour,size_initial_multi,6,0.9254618052754072,0.03737256618867195,0.050470371788813674,0.10541869724711163
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.9405825976453386,0.04041559218712145,0.055860176874444195,0.10597326070792845
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9261260952020065,0.04357334294705095,0.08175279797179004,0.19765048803680238
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.7057955003960571,0.011211084809906242,0.014876134624652423,0.03034463815948041
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,F,one_adjective,redundant_form,single_adjective,6,0.6835768308102014,0.03117094395972093,0.03746781321853127,0.07093095806811373
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8194911972973501,0.005857410458727089,0.007149268782746487,0.011331310365115487
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.09615046954279947,0.002375827464503144,0.002663916164699377,0.004742074242297154
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,FD,two_adjectives,redundant_form,form_initial_multi,6,0.802448043553956,0.0025109379478357517,0.0026396637157470376,0.0035861979128718404
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.38938042605920026,0.0027559257924824176,0.0031289246228041706,0.004960948489987216
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,C,one_adjective,colour_only,single_adjective,6,0.9951568850301696,0.037173888934115586,0.04634317964049775,0.08381633969451685
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,CD,two_adjectives,size_colour,colour_initial_multi,6,0.06036042663139577,0.004822152768214531,0.0056239666704927,0.009153517564989824
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,CDF,three_adjectives,redundant_form,colour_initial_multi,6,0.7293173118689799,0.01837314869664559,0.023593918293905846,0.046501702121623426
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8902110024902434,0.05245519407991512,0.0629072903357072,0.0973397437468066
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,CFD,three_adjectives,redundant_form,colour_initial_multi,6,0.7351477755215928,0.010330477052685586,0.012243883982180319,0.023019727820223202
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,D,one_adjective,size_only,single_adjective,6,0.8250566182948481,0.041696723608685655,0.06631218705857958,0.15318958052804355
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,DC,two_adjectives,size_colour,size_initial_multi,6,0.9238087895893078,0.03746671640240964,0.05055526990994215,0.10560869456397988
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.9398153391144294,0.04020671181533686,0.05562067377960981,0.10563257390481634
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9268514682558667,0.04392156800892106,0.08171127225326522,0.1973505488774784
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.7081630144959413,0.0110278598624784,0.014597735785655326,0.02978127603367955
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,F,one_adjective,redundant_form,single_adjective,6,0.6825827977793238,0.03114487487238013,0.03735077123736457,0.07059806828570556
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8217640130978429,0.005857500121909921,0.007147728740767638,0.011430559025104554
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.12357916229930685,0.002364894792153755,0.0026598748330310504,0.004754192042044653
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,0.795702444401637,0.002527488355230789,0.0026512238469668043,0.003604683615303015
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.41348845336135065,0.002709098178961698,0.0030668691530446684,0.004737168893981774
