summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,one_adjective,0.176775563171928,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,three_adjectives,0.23851036502449083,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,two_adjectives,0.5847140718035811,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,one_adjective,0.706963558360325,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,three_adjectives,0.05544828698864506,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,two_adjectives,0.23758815465102984,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,one_adjective,0.7029513262322702,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,three_adjectives,0.0602897850417849,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,two_adjectives,0.23675888872594486,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,one_adjective,0.1542737879527226,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,three_adjectives,0.3659652976233327,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,two_adjectives,0.47976091442394464,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,one_adjective,0.13509224013429527,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,three_adjectives,0.43341787340555465,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,two_adjectives,0.43148988646014996,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,one_adjective,0.17347848624318346,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,three_adjectives,0.2838942820061959,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,two_adjectives,0.5426272317506207,554
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,one_adjective,0.15846409429306785,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,three_adjectives,0.2995428210259598,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,two_adjectives,0.5419930846809723,502
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,one_adjective,0.7277333243524918,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,three_adjectives,0.047009571772003635,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,two_adjectives,0.22525710387550463,567
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,one_adjective,0.7259958674599919,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,three_adjectives,0.057789726974411995,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,two_adjectives,0.21621440556559615,504
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,one_adjective,0.15474199058282123,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,three_adjectives,0.3658186548293871,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,two_adjectives,0.4794393545877917,566
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,one_adjective,0.13430366260732254,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,three_adjectives,0.4333962047784259,503
length,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,two_adjectives,0.4323001326142515,503
