semantics,summary_type,relevant_property,sharpness,category,model_global,model_proportion_global,signed_residual_global,abs_residual_global,empirical_proportion,model_incremental,model_proportion_incremental,signed_residual_incremental,abs_residual_incremental,global_minus_incremental_abs_residual
context_updating,length,first,blurred,two_adjectives,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.5840943159665122,0.06243366614701751,0.06243366614701751,0.5216606498194947,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.5426272317506207,0.020966581931125994,0.020966581931125994,0.041467084215891514
context_fixed,order,first,blurred,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.07298892560828779,0.04049795087904617,0.04049795087904617,0.032490974729241624,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.034775991766836885,0.0022850170375952605,0.0022850170375952605,0.038212933841450906
context_fixed,order,second,blurred,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.060346885716581984,0.04094653298289598,0.04094653298289598,0.019400352733686007,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.01649891278101148,-0.0029014399526745283,0.0029014399526745283,0.03804509303022145
context_updating,order,first,blurred,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.07299732225454059,0.04050634752529896,0.04050634752529896,0.032490974729241624,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.03506460215135081,0.002573627422109183,0.002573627422109183,0.03793272010318978
context_updating,order,second,blurred,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.05978941371876659,0.04038906098508058,0.04038906098508058,0.019400352733686007,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.016509938912264533,-0.002890413821421474,0.002890413821421474,0.0374986471636591
context_fixed,order,second,sharp,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.05363330004589162,0.033792030204621806,0.033792030204621806,0.01984126984126981,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.01721185739181233,-0.0026294124494574793,0.0026294124494574793,0.031162617755164327
context_updating,order,second,sharp,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.053455403690132616,0.033614133848862804,0.033614133848862804,0.01984126984126981,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.017322731494137083,-0.002518538347132726,0.002518538347132726,0.031095595501730078
context_fixed,order,first,sharp,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.05221874166623249,0.04026655043117278,0.04026655043117278,0.011952191235059707,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.022042455348431883,0.010090264113372176,0.010090264113372176,0.03017628631780061
context_updating,order,first,sharp,form_initial_multi,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,0.052133467414191156,0.04018127617913145,0.04018127617913145,0.011952191235059707,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,0.022139290210056055,0.010187098974996348,0.010187098974996348,0.0299941772041351
context_fixed,selection,second,sharp,size_colour,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,0.0844267543808213,0.08244262739669439,0.08244262739669439,0.0019841269841269008,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0.05934132115186485,0.05735719416773795,0.05735719416773795,0.02508543322895644
