summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,first,sharp,size_initial_multi,0.6967452954859964,502,0.8242664807059099,0.8452913126945267
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,colour_initial_multi,0.1196473368279674,567,0.290159107849112,0.41235078821026083
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,form_initial_multi,0.05978941371876659,567,0.290159107849112,0.20605733923698916
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,single_adjective,0.709840892150888,567,0.290159107849112,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,size_initial_multi,0.110722357302378,567,0.290159107849112,0.38159187255275007
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,colour_initial_multi,0.10628558336014646,504,0.29425957164613553,0.3611966902743987
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,form_initial_multi,0.053455403690132616,504,0.29425957164613553,0.18166071333243117
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,single_adjective,0.7057404283538645,504,0.29425957164613553,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,size_initial_multi,0.13451858459585647,504,0.29425957164613553,0.4571425963931702
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,colour_initial_multi,0.2481810089291841,566,0.9088209141611677,0.2730802131223538
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,form_initial_multi,0.12688685254586202,566,0.9088209141611677,0.13961700327173618
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,single_adjective,0.09117908583883219,566,0.9088209141611677,
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,size_initial_multi,0.5337530526861216,566,0.9088209141611677,0.58730278360591
order,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,colour_initial_multi,0.2144871159539325,503,0.9136228065271281,0.234765501059724
