summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,blurred,size_only,0.00309033633320633,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,colour_only,0.6970838966298396,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,redundant_form,0.21585721569122795,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,size_colour,0.08298398124474668,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,second,sharp,size_only,0.004074906434185858,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,colour_only,0.0448833464813784,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,redundant_form,0.8513632601144204,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,size_colour,0.09773025354619051,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,blurred,size_only,0.006023139858010619,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,colour_only,0.04127351528427573,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,redundant_form,0.8353220150266307,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,size_colour,0.1156958587293017,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,both,sharp,size_only,0.007708610959791806,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,colour_only,0.017980720911637223,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,redundant_form,0.8258951187462089,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,size_colour,0.05831365364656617,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,blurred,size_only,0.09781050669558769,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,colour_only,0.012345510991844492,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,redundant_form,0.7769476966124694,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,size_colour,0.06593119221400559,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,first,sharp,size_only,0.14477560018168054,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,colour_only,0.699228662281794,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,redundant_form,0.2321505247216622,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,size_colour,0.06543482735778107,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,blurred,size_only,0.003185985638762608,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,colour_only,0.6940451724621611,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,redundant_form,0.21737160856513443,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,size_colour,0.0844267543808213,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,second,sharp,size_only,0.004156464591883174,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,colour_only,0.0624958707173966,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,redundant_form,0.8472164466463049,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,size_colour,0.07593581253418238,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,blurred,size_only,0.014351870102116134,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,colour_only,0.051047182256792376,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,redundant_form,0.8322807145384921,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,size_colour,0.0974808369220624,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,both,sharp,size_only,0.019191266282653042,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,colour_only,0.020046802966596815,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,redundant_form,0.8149421408030392,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,size_colour,0.06185302415130891,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,blurred,size_only,0.10315803207905509,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,colour_only,0.011772592732362053,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,redundant_form,0.8035748185444236,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,size_colour,0.06862375459240268,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,first,sharp,size_only,0.11602883413081158,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,colour_only,0.7120878794317053,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,redundant_form,0.23856197604824275,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,size_colour,0.042545924918843375,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,blurred,size_only,0.006804219601208718,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,colour_only,0.7071854329810403,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,redundant_form,0.22338188083566785,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,size_colour,0.05981375639535903,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,second,sharp,size_only,0.009618929787932856,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,colour_only,0.06277708616041158,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,redundant_form,0.8469368972725352,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,size_colour,0.07591429599943103,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,blurred,size_only,0.01437172056762225,566
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,colour_only,0.050266231610316466,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,redundant_form,0.8331592223991495,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,size_colour,0.09743475739835936,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,both,sharp,size_only,0.019139788592174595,503
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,colour_only,0.019869471759001653,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,redundant_form,0.8152990517291634,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,size_colour,0.061940884623158936,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,blurred,size_only,0.10289059188867593,554
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,colour_only,0.011705115119702788,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,redundant_form,0.8035410830280213,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,size_colour,0.0690190795914748,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,first,sharp,size_only,0.11573472226080116,502
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,colour_only,0.7116823008938117,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,redundant_form,0.23916562082900825,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,size_colour,0.04233631458167111,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,blurred,size_only,0.006815763695509104,567
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,colour_only,0.7074116672927397,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,redundant_form,0.2235174364749457,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,size_colour,0.05934132115186485,504
selection,model,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,incremental,inc,context_fixed,static,second,sharp,size_only,0.009729575080449571,504
