model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,scope,n_categories,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,blurred,condition,3,0.023692723895813145,0.02521406324325996,0.006952452786990422
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,both,sharp,condition,3,0.04041576415270391,0.04842899130387206,0.0077700399437863055
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,blurred,condition,3,0.07206587150398885,0.07674333828032504,0.03071775494999613
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,first,sharp,condition,3,0.13522983604170014,0.16243145159317754,0.12183555487361164
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,blurred,condition,3,0.030673150316509242,0.03472786248610681,0.005890264728020227
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,length,second,sharp,condition,3,0.031812866983570554,0.03415886681242862,0.029809715612965974
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,both,blurred,condition,4,0.05987417329674422,0.06383006364011908,0.05336557859934898
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,both,sharp,condition,4,0.04597777743664508,0.056155282637424954,0.05738291860185786
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,first,blurred,condition,4,0.04308574431713239,0.05007939567683361,0.02705968550609754
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,first,sharp,condition,4,0.11647125396005396,0.13979309167309642,0.1420533726147385
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,second,blurred,condition,4,0.0742151322914836,0.08663154838025805,0.11684388380054914
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,global,glob,context_updating,rec,order,second,sharp,condition,4,0.07910604176204226,0.09208740573342113,0.17038472297484297
