model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,category,empirical_proportion,model_proportion,signed_residual,abs_residual,n
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,first,sharp,two_adjectives,0.3824701195219123,0.5847140718035811,0.20224395228166886,0.20224395228166886,502
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,blurred,one_adjective,0.6719576719576723,0.706963558360325,0.035005886402652675,0.035005886402652675,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,blurred,three_adjectives,0.045855379188712325,0.05544828698864506,0.009592907799932736,0.009592907799932736,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,blurred,two_adjectives,0.2821869488536155,0.23758815465102984,-0.04459879420258567,0.04459879420258567,567
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,sharp,one_adjective,0.7361111111111114,0.7029513262322702,-0.03315978487884119,0.03315978487884119,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,sharp,three_adjectives,0.011904761904761706,0.0602897850417849,0.0483850231370232,0.0483850231370232,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,global,glob,context_fixed,static,length,second,sharp,two_adjectives,0.2519841269841269,0.23675888872594486,-0.015225238258182061,0.015225238258182061,504
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,blurred,one_adjective,0.12544169611307426,0.1542737879527226,0.028832091839648327,0.028832091839648327,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,blurred,three_adjectives,0.3992932862190811,0.3659652976233327,-0.033327988595748426,0.033327988595748426,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,blurred,two_adjectives,0.47526501766784446,0.47976091442394464,0.004495896756100182,0.004495896756100182,566
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,incremental,inc,context_updating,rec,length,both,sharp,one_adjective,0.08349900596421474,0.13509224013429527,0.051593234170080535,0.051593234170080535,503
