semantics,incremental_model,global_model,incremental_elpd_loo,global_elpd_loo,delta_elpd_incremental_minus_global,incremental_loo_warning,global_loo_warning,incremental_bad_pareto_k_ge_0_7,global_bad_pareto_k_ge_0_7,incremental_max_rhat,global_max_rhat,incremental_diagnostic_status,global_diagnostic_status,incremental_elpd_diff_vs_best,global_elpd_diff_vs_best,incremental_dse_vs_best,global_dse_vs_best
context_fixed,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,-5292.826969623566,-5643.377087593079,350.55011796951294,False,False,,,1.0,1.34,pass,fail,0.0,350.55011796951294,0.0,23.704591803179955
context_updating,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,-5294.2155084609985,-5643.615892410278,349.4003839492798,False,True,,,1.0,1.63,pass,fail,1.388538837432861,350.78892278671265,0.2880924587700371,23.728370997934476
