model,order_planning_scale,relevant_property,sharpness,utterance_code,utterance_label,human_mean,model_mean,candidate_model_mean,signed_residual,candidate_signed_residual,abs_residual,candidate_abs_residual,utterance_set,order_score
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,7,CDF,0.0278330019880715,0.0698170974155069,0.0698170974155069,0.0419840954274354,0.041984095427435406,0.0419840954274354,0.041984095427435406,CDF,1.26
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,9,CFD,0.003976143141153,0.0110638772574971,0.011063877257497098,0.007087734116344,0.0070877341163440985,0.007087734116344,0.0070877341163440985,CDF,1.085
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,12,FDC,0.0,0.0036883959401485,0.0036883959401485004,0.0036883959401485,0.0036883959401485004,0.0036883959401485,0.0036883959401485004,CDF,0.9
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,14,FCD,0.0019880715705765,0.0031973762520418,0.0031973762520417994,0.0012093046814653,0.0012093046814652996,0.0012093046814653,0.0012093046814652996,CDF,0.8374999999999999
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,3,DF,0.1073558648111332,0.1551928429423459,0.1551928429423459,0.0478369781312127,0.047836978131212696,0.0478369781312127,0.047836978131212696,DF,1.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,11,FD,0.0,0.0039706963697268,0.0039706963697268,0.0039706963697268,0.0039706963697268,0.0039706963697268,0.0039706963697268,DF,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,5,C,0.0,0.0373558648111332,0.0373558648111332,0.0373558648111332,0.0373558648111332,0.0373558648111332,0.0373558648111332,C,0.75
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,8,CF,0.2027833001988071,0.1838290258449304,0.1838290258449304,-0.0189542743538767,-0.0189542743538767,0.0189542743538767,0.0189542743538767,CF,0.885
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,13,FC,0.0218687872763419,0.0332524850894632,0.0332524850894632,0.0113836978131212,0.011383697813121298,0.0113836978131212,0.011383697813121298,CF,0.6375
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,both,sharp,10,F,0.0834990059642147,0.0685964214711729,0.0685964214711729,-0.0149025844930417,-0.014902584493041798,0.0149025844930417,0.014902584493041798,F,0.3
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,0,D,0.055956678700361,0.0431155234657039,0.0431155234657039,-0.012841155234657,-0.0128411552346571,0.012841155234657,0.0128411552346571,D,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,1,DC,0.0433212996389891,0.0588772563176895,0.058877256317689496,0.0155559566787003,0.015555956678700397,0.0155559566787003,0.015555956678700397,CD,1.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,6,CD,0.0018050541516245,0.0026709922919309,0.0026709922919309,0.0008659381403063,0.0008659381403064001,0.0008659381403063,0.0008659381403064001,CD,0.45
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,2,DCF,0.2996389891696751,0.2284512635379061,0.2284512635379061,-0.0711877256317689,-0.07118772563176898,0.0711877256317689,0.07118772563176898,CDF,1.06
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,4,DFC,0.0324909747292418,0.0474945848375451,0.0474945848375451,0.0150036101083032,0.015003610108303304,0.0150036101083032,0.015003610108303304,CDF,1.135
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,7,CDF,0.03971119133574,0.0242382671480144,0.0242382671480144,-0.0154729241877256,-0.015472924187725598,0.0154729241877256,0.015472924187725598,CDF,0.51
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,first,blurred,9,CFD,0.0,0.0051181282273911,0.0051181282273911,0.0051181282273911,0.0051181282273911,0.0051181282273911,0.0051181282273911,CDF,0.335
