model,order_planning_scale,summary_type,scope,n_cells,baseline_mae,candidate_mae,baseline_rmse,candidate_rmse,mae_gain,rmse_gain
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.0,utterance_cells,overall,90,0.020106025648707115,0.020106025648707154,0.031544696939711264,0.03154469693971129,-3.8163916471489756e-17,-2.7755575615628914e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.25,utterance_cells,overall,90,0.020106025648707115,0.020127476603303825,0.031544696939711264,0.03135230335162833,-2.1450954596709954e-05,0.00019239358808293555
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.5,utterance_cells,overall,90,0.020106025648707115,0.02019527491933938,0.031544696939711264,0.031193978292519447,-8.924927063226618e-05,0.00035071864719181736
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,0.75,utterance_cells,overall,90,0.020106025648707115,0.020269357512071866,0.031544696939711264,0.031066350915412384,-0.00016333186336475042,0.0004783460242988799
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.0,utterance_cells,overall,90,0.020106025648707115,0.02035497497862388,0.031544696939711264,0.030966827655118,-0.0002489493299167658,0.0005778692845932638
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,1.5,utterance_cells,overall,90,0.020106025648707115,0.020516644109843208,0.031544696939711264,0.030844867998456618,-0.0004106184611360926,0.0006998289412546467
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,2.0,utterance_cells,overall,90,0.020106025648707115,0.02067543928436741,0.031544696939711264,0.030817979771382068,-0.000569413635660293,0.0007267171683291961
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_rec_fixedeps,3.0,utterance_cells,overall,90,0.020106025648707115,0.02102050962952963,0.031544696939711264,0.03102312543136894,-0.0009144839808225141,0.000521571508342325
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.0,utterance_cells,overall,90,0.020092637036224333,0.020092637036224378,0.03151024397678055,0.03151024397678059,-4.5102810375396984e-17,-3.469446951953614e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.25,utterance_cells,overall,90,0.020092637036224333,0.020097278127884092,0.03151024397678055,0.03131347507933102,-4.641091659759317e-06,0.0001967688974495313
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.5,utterance_cells,overall,90,0.020092637036224333,0.0201600633803739,0.03151024397678055,0.031151413755291426,-6.742634414956886e-05,0.0003588302214891266
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,0.75,utterance_cells,overall,90,0.020092637036224333,0.020239325215330378,0.03151024397678055,0.031020657941793865,-0.00014668817910604495,0.0004895860349866873
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,1.0,utterance_cells,overall,90,0.020092637036224333,0.020325460529828972,0.03151024397678055,0.03091859227206547,-0.00023282349360463986,0.0005916517047150835
