model,rank,elpd_loo,p_loo,elpd_diff,elpd_loo_se,dse,loo_warning,scale,delta_elpd_from_best,ppc_rmse,ppc_mae,ppc_r,ppc_r2,ppc_scope,diagnostic_status,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,n_parameters_x,n_parameters_y,complexity,complexity_source,diagnostics_ok,complete_objectives,eligible_for_frontier,posterior_pareto_frontier
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,0,-5292.826969623566,52.16674613952637,0.0,63.73853835431176,0.0,False,log,0.0,0.0411632697751174,0.0228265824905228,0.9476655960188626,0.898070081877786,all_cells,pass,1.0,0,0,559.0,829.0,0,0.0,8,8,8,n_parameters,True,True,True,True
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,1,-5294.2155084609985,51.60803699493408,1.388538837432861,63.72847356076224,0.2880924587700371,False,log,-1.3885388374328613,0.0412255795670946,0.0228573026297722,0.9474847128825984,0.8977272811462197,all_cells,pass,1.0,0,0,496.0,606.0,0,0.0,8,8,8,n_parameters,True,True,True,False
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,2,-5654.333872795105,27.8181676864624,361.5069031715393,63.48027762980849,26.205024066415852,False,log,-361.5069031715393,0.0537147863976297,0.0318703650814911,0.9083283836833262,0.8250604526047639,all_cells,pass,1.01,0,0,188.0,205.0,0,0.0,8,8,8,n_parameters,True,True,True,False
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,3,-5655.125134944916,27.77660894393921,362.2981653213501,63.4871444581267,26.26688127556618,False,log,-362.2981653213501,0.0537911021961455,0.0318615229961721,0.9081212915084896,0.824684280091047,all_cells,pass,1.01,0,0,201.0,205.0,0,0.0,8,8,8,n_parameters,True,True,True,False
