model,architecture,architecture_short,semantics,semantics_short,utterance_label,length_class,selection_class,order_class,n_conditions,r,mae,rmse,max_abs_residual
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,-0.6126651707994352,0.017201832766852825,0.017915407795704077,0.02285489050727283
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.40695906142887844,0.03042234561179293,0.03056343104943087,0.03517384303143874
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,C,one_adjective,colour_only,single_adjective,6,0.8581278565151381,0.19364422798623268,0.21881606067301104,0.3591735041981759
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CD,two_adjectives,size_colour,colour_initial_multi,6,0.1405860151823857,0.009939907913299927,0.011765792066709345,0.019706989393183084
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CDF,three_adjectives,redundant_form,colour_initial_multi,6,-0.3422510879726781,0.04047829025503564,0.05201261104396555,0.08978217732902831
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8533205160342668,0.08820426128155197,0.09642544164702486,0.15179491723975586
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,CFD,three_adjectives,redundant_form,colour_initial_multi,6,-0.3501987182120724,0.02578398000592882,0.03122352860248026,0.05417241476890066
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,D,one_adjective,size_only,single_adjective,6,0.733082428618378,0.056059358962586514,0.08658354773817405,0.2001334423526533
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DC,two_adjectives,size_colour,size_initial_multi,6,0.5531778573449899,0.13550647664053495,0.14869337687135226,0.22604373107529915
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.6928491139053334,0.09080958758717646,0.09669438627786624,0.14959017205667982
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9272340307293742,0.0785152740462093,0.11121642161892709,0.24197693566321257
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.5084908973408937,0.019940244917164843,0.029094983591152583,0.05823646526955743
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,F,one_adjective,redundant_form,single_adjective,6,0.18451372852338052,0.038569442611952935,0.05058001363922978,0.07977491768652901
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8807352541518904,0.005328102719418449,0.00786964047856517,0.017948754025905463
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.31711479874805976,0.0028440230722920554,0.003139298782423294,0.004563982945976223
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FD,two_adjectives,redundant_form,form_initial_multi,6,0.7564860562331073,0.0023932779834187246,0.0029190463415765173,0.005722734969659543
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.32329015218010404,0.003942907894811841,0.004427895902118361,0.006978064050062909
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,C,one_adjective,colour_only,single_adjective,6,0.8589291018777447,0.19304970262041557,0.2182619166150177,0.35840946115482697
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CD,two_adjectives,size_colour,colour_initial_multi,6,0.11600860631776658,0.010000315886202994,0.011932428478812781,0.020151353538038083
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CDF,three_adjectives,redundant_form,colour_initial_multi,6,-0.34118556224720015,0.040331064438017185,0.051999323986818356,0.08969997877149734
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CF,two_adjectives,redundant_form,colour_initial_multi,6,0.8543073075443844,0.08837551637603636,0.09653498577864351,0.1519290829949102
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,CFD,three_adjectives,redundant_form,colour_initial_multi,6,-0.35162178064313243,0.025665265521329566,0.03116674586760822,0.05407005431195902
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,D,one_adjective,size_only,single_adjective,6,0.7297531455186117,0.056111830862114305,0.0865873867038068,0.2000907124808854
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DC,two_adjectives,size_colour,size_initial_multi,6,0.556823013371195,0.13544513957409213,0.14852773612212286,0.22520212968304085
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DCF,three_adjectives,redundant_form,size_initial_multi,6,0.6954088686774513,0.09055789201887511,0.09648391819124935,0.14996897835101541
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DF,two_adjectives,redundant_form,size_initial_multi,6,0.9283596844644116,0.07786982440257266,0.11037608951617507,0.24031488220233108
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,DFC,three_adjectives,redundant_form,size_initial_multi,6,0.5021837620112404,0.020305683124892625,0.02953209380528114,0.059216638786584105
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,F,one_adjective,redundant_form,single_adjective,6,0.18306884147461808,0.03854493823099986,0.05060254842877873,0.07998437229428072
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FC,two_adjectives,redundant_form,form_initial_multi,6,0.8810332214213222,0.005393189283800563,0.007909913483428978,0.01796207058221789
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FCD,three_adjectives,redundant_form,form_initial_multi,6,0.3596595863173916,0.0028234988184632514,0.003111152075666336,0.00453282476304147
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FD,two_adjectives,redundant_form,form_initial_multi,6,0.6543975426995208,0.0023999864039593046,0.0029717207359840838,0.005930519368144389
principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,FDC,three_adjectives,redundant_form,form_initial_multi,6,0.29572346460473703,0.003971727252216534,0.004441979839501854,0.007114122931014339
