semantics,summary_type,relevant_property,sharpness,category,model_global,model_proportion_global,signed_residual_global,abs_residual_global,empirical_proportion,model_incremental,model_proportion_incremental,signed_residual_incremental,abs_residual_incremental,global_minus_incremental_abs_residual
context_fixed,order,second,blurred,size_initial_multi,principled_salience_stop_regularized_2x2_glob_static,0.4174322562985122,0.3768678824008051,0.3768678824008051,0.04056437389770712,principled_salience_stop_regularized_2x2_inc_static,0.18115983055980886,0.14059545666210174,0.14059545666210174,0.23627242573870336
context_updating,order,second,blurred,size_initial_multi,principled_salience_stop_regularized_2x2_glob_rec,0.41785314375572974,0.3772887698580226,0.3772887698580226,0.04056437389770712,principled_salience_stop_regularized_2x2_inc_rec,0.18218952857736043,0.1416251546796533,0.1416251546796533,0.2356636151783693
context_fixed,order,second,sharp,size_initial_multi,principled_salience_stop_regularized_2x2_glob_static,0.4683712700352089,0.4584506351145742,0.4584506351145742,0.009920634920634705,principled_salience_stop_regularized_2x2_inc_static,0.25383206154690574,0.24391142662627102,0.24391142662627102,0.21453920848830316
context_updating,order,second,sharp,size_initial_multi,principled_salience_stop_regularized_2x2_glob_rec,0.4687273523432319,0.45880671742259715,0.45880671742259715,0.009920634920634705,principled_salience_stop_regularized_2x2_inc_rec,0.2548690232966916,0.24494838837605687,0.24494838837605687,0.21385832904654029
context_fixed,overinformativeness,second,blurred,over_minimal_length,principled_salience_stop_regularized_2x2_glob_static,0.7703990373263531,0.44235670928402526,0.44235670928402526,0.3280423280423278,principled_salience_stop_regularized_2x2_inc_static,0.5634978722460586,0.23545554420373083,0.23545554420373083,0.20690116508029444
context_fixed,overinformativeness,second,blurred,minimal_length,principled_salience_stop_regularized_2x2_glob_static,0.2296009626736471,-0.4423567092840252,0.4423567092840252,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_static,0.4365021277539413,-0.235455544203731,0.235455544203731,0.2069011650802942
context_fixed,length,second,blurred,one_adjective,principled_salience_stop_regularized_2x2_glob_static,0.2296009626736471,-0.4423567092840252,0.4423567092840252,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_static,0.4365021277539413,-0.235455544203731,0.235455544203731,0.2069011650802942
context_fixed,order,second,blurred,single_adjective,principled_salience_stop_regularized_2x2_glob_static,0.2296009626736471,-0.4423567092840252,0.4423567092840252,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_static,0.4365021277539413,-0.235455544203731,0.235455544203731,0.2069011650802942
context_updating,order,second,blurred,single_adjective,principled_salience_stop_regularized_2x2_glob_rec,0.22938155940844163,-0.4425761125492307,0.4425761125492307,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_rec,0.43551867361416263,-0.23643899834350968,0.23643899834350968,0.206137114205721
context_updating,overinformativeness,second,blurred,over_minimal_length,principled_salience_stop_regularized_2x2_glob_rec,0.7706184405915584,0.44257611254923057,0.44257611254923057,0.3280423280423278,principled_salience_stop_regularized_2x2_inc_rec,0.5644813263858374,0.23643899834350957,0.23643899834350957,0.206137114205721
context_updating,overinformativeness,second,blurred,minimal_length,principled_salience_stop_regularized_2x2_glob_rec,0.22938155940844163,-0.4425761125492307,0.4425761125492307,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_rec,0.43551867361416263,-0.23643899834350968,0.23643899834350968,0.206137114205721
context_updating,length,second,blurred,one_adjective,principled_salience_stop_regularized_2x2_glob_rec,0.22938155940844163,-0.4425761125492307,0.4425761125492307,0.6719576719576723,principled_salience_stop_regularized_2x2_inc_rec,0.43551867361416263,-0.23643899834350968,0.23643899834350968,0.206137114205721
context_fixed,selection,second,blurred,colour_only,principled_salience_stop_regularized_2x2_glob_static,0.1890277719266085,-0.43883818927268636,0.43883818927268636,0.6278659611992948,principled_salience_stop_regularized_2x2_inc_static,0.39077216238594903,-0.2370937988133458,0.2370937988133458,0.20174439045934056
context_updating,selection,second,blurred,colour_only,principled_salience_stop_regularized_2x2_glob_rec,0.18893165969881626,-0.4389343015004786,0.4389343015004786,0.6278659611992948,principled_salience_stop_regularized_2x2_inc_rec,0.38975613894102423,-0.2381098222582706,0.2381098222582706,0.20082447924220798
