summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,minimal_length,0.19262023925247115,554
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,over_minimal_length,0.8073797607475289,554
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,minimal_length,0.14241708952492668,502
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,sharp,over_minimal_length,0.8575829104750733,502
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,minimal_length,0.43551867361416263,567
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,blurred,over_minimal_length,0.5644813263858374,567
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,minimal_length,0.407055214552981,504
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,second,sharp,over_minimal_length,0.5929447854470191,504
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,minimal_length,0.3848543350435081,566
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,over_minimal_length,0.29307869012671306,566
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,blurred,under_minimal_length,0.32206697482977903,566
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,minimal_length,0.3938625064880918,503
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,over_minimal_length,0.3361335232321815,503
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,both,sharp,under_minimal_length,0.2700039702797266,503
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,minimal_length,0.19192457228971666,554
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,blurred,over_minimal_length,0.8080754277102834,554
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,minimal_length,0.14197076879759057,502
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,first,sharp,over_minimal_length,0.8580292312024094,502
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,minimal_length,0.4365021277539413,567
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,blurred,over_minimal_length,0.5634978722460586,567
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,minimal_length,0.40778437069405604,504
overinformativeness,model,principled_salience_stop_regularized_2x2_inc_static,incremental,inc,context_fixed,static,second,sharp,over_minimal_length,0.592215629305944,504
