semantics,incremental_model,global_model,incremental_elpd_loo,global_elpd_loo,delta_elpd_incremental_minus_global,incremental_loo_warning,global_loo_warning,incremental_bad_pareto_k_ge_0_7,global_bad_pareto_k_ge_0_7,incremental_max_rhat,global_max_rhat,incremental_diagnostic_status,global_diagnostic_status,incremental_elpd_diff_vs_best,global_elpd_diff_vs_best,incremental_dse_vs_best,global_dse_vs_best
context_fixed,principled_salience_stop_regularized_2x2_inc_static,principled_salience_stop_regularized_2x2_glob_static,-6367.339756965637,-7731.072658538818,1363.7329015731812,False,True,0,1,1.0,1.54,pass,fail,0.0,1363.7329015731812,0.0,33.35678157675147
context_updating,principled_salience_stop_regularized_2x2_inc_rec,principled_salience_stop_regularized_2x2_glob_rec,-6369.320020675659,-7730.713019371033,1361.3929986953735,False,True,0,2,1.0,1.53,pass,fail,1.9802637100219729,1363.3732624053955,0.3707706226468999,33.34326748652855
