summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,redundant_form,0.6452208451965074,566
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,size_colour,0.19564365269755893,566
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,size_only,0.02131788892020955,566
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,colour_only,0.1235711987705532,503
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,redundant_form,0.6216146653740997,503
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,size_colour,0.2297919181647824,503
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,size_only,0.025022217690564664,503
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,colour_only,0.09148901536180713,554
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,redundant_form,0.6842195227316833,554
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,size_colour,0.1936111715588837,554
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,size_only,0.030680290347625917,554
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,colour_only,0.06716997444291967,502
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,redundant_form,0.6338065657000892,502
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,size_colour,0.25392225458425516,502
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,size_only,0.04510120527273584,502
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,colour_only,0.1890277719266085,567
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,redundant_form,0.5914860318436196,567
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,size_colour,0.2017890668359499,567
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,size_only,0.017697129393822175,567
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,colour_only,0.17405863072755648,504
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,redundant_form,0.563415111134663,504
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,size_colour,0.24296912100769577,504
selection,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,size_only,0.019557137130084657,504
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,colour_only,0.24356404450021524,566
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,redundant_form,0.5120611471203446,566
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,size_colour,0.2052184380732185,566
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,size_only,0.03915637030622169,566
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,colour_only,0.18973868404132016,503
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,redundant_form,0.5066033087805858,503
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,size_colour,0.25470801928468545,503
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,size_only,0.04894998789340868,503
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,colour_only,0.09372087635851563,554
selection,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,first,blurred,redundant_form,0.596497053133809,554
