model,architecture,architecture_short,semantics,semantics_short,summary_type,relevant_property,sharpness,scope,n_categories,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,order,second,sharp,condition,4,0.2851399796456452,0.3523469286538676,0.8852188128024445
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,both,blurred,condition,3,0.041886850485350645,0.044429205802658564,0.014280277598351064
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,both,sharp,condition,3,0.06422597044815224,0.07693556614872435,0.03974203630286205
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,first,blurred,condition,2,0.0583291186545202,0.0583291186545202,0.014419038141282592
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,first,sharp,condition,2,0.2296513260863379,0.2296513260863379,0.1625378037510087
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,second,blurred,condition,2,0.44235670928402526,0.44235670928402526,0.4415120475416712
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,overinformativeness,second,sharp,condition,2,0.5210435976338388,0.5210435976338387,0.618075268348827
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,both,blurred,condition,4,0.1341033583204743,0.16041174290460583,0.2214998329983693
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,both,sharp,condition,4,0.08481890985768176,0.1062024120840189,0.17087669617148715
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,first,blurred,condition,4,0.11727933533760179,0.13591763936680595,0.19104588483575435
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,first,sharp,condition,4,0.13763774797972292,0.1585590125470682,0.45520090552979686
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,second,blurred,condition,4,0.21941909463634318,0.26538946338322006,0.5812699245796724
principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,selection,second,sharp,condition,4,0.2711056052711425,0.32855239919936435,0.8084895233863871
principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,length,both,blurred,condition,3,0.1308862247928337,0.13894921104079114,0.10512684214917584
