semantics,summary_type,relevant_property,sharpness,category,global_proportion,incremental_proportion,global_model,incremental_model,delta_incremental_minus_global,abs_delta_incremental_global
context_fixed,order,both,sharp,form_initial_multi,0.1304334011682359,0.028505875576883177,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.10192752559135272,0.10192752559135272
context_fixed,order,first,blurred,form_initial_multi,0.13034758463021515,0.03207716642484005,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.0982704182053751,0.0982704182053751
context_fixed,order,both,sharp,single_adjective,0.1754603349021655,0.2700039702797266,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.09454363537756111,0.09454363537756111
context_fixed,order,first,sharp,colour_initial_multi,0.1514191533194225,0.05752536698665707,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.09389378633276542,0.09389378633276542
context_fixed,order,first,sharp,form_initial_multi,0.1087872818237114,0.020021944810876564,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.08876533701283484,0.08876533701283484
context_fixed,order,first,blurred,colour_initial_multi,0.18362005890159183,0.10073212628717536,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.08288793261441647,0.08288793261441647
context_fixed,order,both,blurred,size_initial_multi,0.46373084433689005,0.4060343354208512,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.057696508916038836,0.057696508916038836
context_fixed,order,first,blurred,single_adjective,0.1576070969938704,0.19192457228971666,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.03431747529584625,0.03431747529584625
context_fixed,order,both,blurred,colour_initial_multi,0.20588012497528835,0.2386036369295735,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.03272351195428516,0.03272351195428516
context_fixed,order,both,sharp,size_initial_multi,0.5094976383957458,0.523221402569903,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.013723764174157216,0.013723764174157216
context_fixed,order,both,sharp,colour_initial_multi,0.1846086255338528,0.1782687515734871,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.0063398739603656995,0.0063398739603656995
context_fixed,order,first,sharp,single_adjective,0.14086660220051472,0.14197076879759057,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0011041665970758507,0.0011041665970758507
context_fixed,overinformativeness,second,blurred,over_minimal_length,0.7703990373263531,0.5634978722460586,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.20690116508029444,0.20690116508029444
context_fixed,overinformativeness,second,blurred,minimal_length,0.2296009626736471,0.4365021277539413,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.2069011650802942,0.2069011650802942
context_fixed,overinformativeness,second,sharp,minimal_length,0.21506751347727265,0.40778437069405604,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.1927168572167834,0.1927168572167834
context_fixed,overinformativeness,second,sharp,over_minimal_length,0.7849324865227273,0.592215629305944,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.19271685721678333,0.19271685721678333
context_fixed,overinformativeness,both,blurred,under_minimal_length,0.18827197184110034,0.32206697482977903,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.1337950029886787,0.1337950029886787
context_fixed,overinformativeness,both,sharp,under_minimal_length,0.1754603349021655,0.2700039702797266,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.09454363537756111,0.09454363537756111
context_fixed,overinformativeness,both,blurred,over_minimal_length,0.3683240534320234,0.29307869012671306,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.07524536330531034,0.07524536330531034
context_fixed,overinformativeness,both,blurred,minimal_length,0.4434039747268763,0.3848543350435081,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.05854963968336824,0.05854963968336824
context_fixed,overinformativeness,both,sharp,minimal_length,0.4444165115245908,0.3938625064880918,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.050554005036498983,0.050554005036498983
context_fixed,overinformativeness,both,sharp,over_minimal_length,0.3801231535732437,0.3361335232321815,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.043989630341062236,0.043989630341062236
context_fixed,overinformativeness,first,blurred,over_minimal_length,0.8423929030061297,0.8080754277102834,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.03431747529584628,0.03431747529584628
context_fixed,overinformativeness,first,blurred,minimal_length,0.1576070969938704,0.19192457228971666,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.03431747529584625,0.03431747529584625
context_fixed,overinformativeness,first,sharp,minimal_length,0.14086660220051472,0.14197076879759057,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.0011041665970758507,0.0011041665970758507
context_fixed,overinformativeness,first,sharp,over_minimal_length,0.8591333977994852,0.8580292312024094,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,-0.0011041665970757952,0.0011041665970757952
context_fixed,selection,second,blurred,colour_only,0.1890277719266085,0.39077216238594903,principled_salience_stop_regularized_2x2_glob_static,principled_salience_stop_regularized_2x2_inc_static,0.20174439045934053,0.20174439045934053
