summary_type,source,model,architecture,architecture_short,semantics,semantics_short,relevant_property,sharpness,category,proportion,n,multi_adjective_total,conditional_multi_proportion
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,second,blurred,size_initial_multi,0.41785314375572974,567,0.7706184405915584,0.5422309170735241
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,second,sharp,colour_initial_multi,0.184884279013089,504,0.7849880567722545,0.23552495788700736
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,second,sharp,form_initial_multi,0.13137642541593367,504,0.7849880567722545,0.1673610499962669
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,second,sharp,single_adjective,0.21501194322774536,504,0.7849880567722545,
order,model,principled_salience_stop_regularized_2x2_glob_rec,global,glob,context_updating,rec,second,sharp,size_initial_multi,0.4687273523432319,504,0.7849880567722545,0.5971139921167258
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,colour_initial_multi,0.20588012497528835,566,0.8117280281588998,0.25363190358505927
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,form_initial_multi,0.14211705884672138,566,0.8117280281588998,0.17507964973078552
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,single_adjective,0.18827197184110034,566,0.8117280281588998,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,blurred,size_initial_multi,0.46373084433689005,566,0.8117280281588998,0.5712884466841552
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,colour_initial_multi,0.1846086255338528,503,0.8245396650978345,0.22389295912398385
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,form_initial_multi,0.1304334011682359,503,0.8245396650978345,0.15818935909257867
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,single_adjective,0.1754603349021655,503,0.8245396650978345,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,both,sharp,size_initial_multi,0.5094976383957458,503,0.8245396650978345,0.6179176817834374
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,colour_initial_multi,0.18362005890159183,554,0.8423929030061297,0.21797436593581526
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,form_initial_multi,0.13034758463021515,554,0.8423929030061297,0.15473490358841102
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,single_adjective,0.1576070969938704,554,0.8423929030061297,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,blurred,size_initial_multi,0.5284252594743227,554,0.8423929030061297,0.6272907304757738
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,colour_initial_multi,0.1514191533194225,502,0.8591333977994852,0.1762463823513965
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,form_initial_multi,0.1087872818237114,502,0.8591333977994852,0.1266244358586808
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,single_adjective,0.14086660220051472,502,0.8591333977994852,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,first,sharp,size_initial_multi,0.5989269626563513,502,0.8591333977994852,0.6971291817899227
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,colour_initial_multi,0.20666314828422366,567,0.7703990373263531,0.2682546813680375
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,form_initial_multi,0.14630363274361718,567,0.7703990373263531,0.18990630264980546
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,single_adjective,0.2296009626736471,567,0.7703990373263531,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,blurred,size_initial_multi,0.4174322562985122,567,0.7703990373263531,0.541839015982157
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,colour_initial_multi,0.1848906224695324,504,0.7849324865227273,0.2355497136939802
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,form_initial_multi,0.13167059401798603,504,0.7849324865227273,0.16774766782973963
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,single_adjective,0.21506751347727265,504,0.7849324865227273,
order,model,principled_salience_stop_regularized_2x2_glob_static,global,glob,context_fixed,static,second,sharp,size_initial_multi,0.4683712700352089,504,0.7849324865227273,0.5967026184762803
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,colour_initial_multi,0.2388898144834659,566,0.6782289666976751,0.35222590926281183
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,form_initial_multi,0.03344607885177658,566,0.6782289666976751,0.04931384605205956
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,single_adjective,0.3217710333023249,566,0.6782289666976751,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,blurred,size_initial_multi,0.4058930733624326,566,0.6782289666976751,0.5984602446851286
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,colour_initial_multi,0.1782028511315516,503,0.7293915594778297,0.2443171281816405
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,form_initial_multi,0.028762153072488042,503,0.7293915594778297,0.03943307637543656
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,single_adjective,0.27060844052217026,503,0.7293915594778297,
order,model,principled_salience_stop_regularized_2x2_inc_rec,incremental,inc,context_updating,rec,both,sharp,size_initial_multi,0.5224265552737901,503,0.7293915594778297,0.7162497954429229
