dataset,result_dir,model,model_family,alignment_class,architecture,semantics,evaluation_scope,primary_metric_name,primary_metric,delta_primary_from_result_best,ppc_r,ppc_r2,ppc_rmse,ppc_mae,diagnostics_ok,diagnostic_status,max_r_hat,n_divergent,n_parameters,speaker_type,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,rank,elpd_loo,p_loo,elpd_diff,elpd_loo_se,dse,loo_warning,n_points,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,divergence_rate
production,models/production/results_response_policy_pilot,principled_salience_stop_regularized_2x2_inc_static,principled_salience_stop,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-6402.213464260101,-748.3419861793518,0.7180472655938727,0.5155918756268375,0.0888701066617353,0.0529733601617205,True,pass,1.01,0.0,6.0,,,,,,3.0,-6402.213464260101,40.854692459106445,748.3419861793518,53.526983780049875,33.603471524560725,False,90.0,0.0,0.0,532.0,599.0,0.0
production,models/production/results_bounded_form_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,response_policy,not_aligned,incremental,context_updating,full_sample,loo_elpd,-5654.333872795105,-361.5069031715393,0.9083283836833262,0.8250604526047639,0.0537147863976297,0.0318703650814911,True,pass,1.01,0.0,8.0,,,,,,2.0,-5654.333872795105,27.8181676864624,361.5069031715393,63.48027762980849,26.205024066415852,False,90.0,0.0,0.0,188.0,205.0,0.0
production,models/production/results_bounded_form_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,response_policy,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-5655.125134944916,-362.2981653213501,0.9081212915084896,0.824684280091047,0.0537911021961455,0.0318615229961721,True,pass,1.01,0.0,8.0,,,,,,3.0,-5655.125134944916,27.77660894393921,362.2981653213501,63.4871444581267,26.26688127556618,False,90.0,0.0,0.0,201.0,205.0,0.0
production,models/production/results_response_policy_2x2_pilot,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec,response_policy,not_aligned,global,context_updating,full_sample,loo_elpd,-6247.971113204956,-594.0996351242065,0.8830550419838148,0.7797862071730369,0.059868748936755,0.03736631362758,False,fail,1.82,0.0,8.0,,,,,,2.0,-6247.971113204956,188.2174949645996,594.0996351242065,65.28083675841012,23.726955159885865,False,90.0,8.0,8.0,6.0,27.0,0.0
production,models/production/results_response_policy_2x2_pilot,principled_salience_stop_regularized_responsepolicy_2x2_glob_static,response_policy,not_aligned,global,context_fixed,full_sample,loo_elpd,-6248.382058620453,-594.5105805397034,0.8830587721089215,0.7797927949985161,0.0598593649515835,0.0373722325315577,False,fail,1.66,0.0,8.0,,,,,,3.0,-6248.382058620453,188.88230419158936,594.5105805397034,65.36554415778278,23.766446438032546,False,90.0,8.0,8.0,7.0,29.0,0.0
production,models/production/results_response_policy_2x2_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,response_policy,not_aligned,incremental,context_updating,full_sample,loo_elpd,-5653.8714780807495,0.0,0.907698526755744,0.8239166154745483,0.0539362368143434,0.0319678101696617,True,pass,1.01,0.0,8.0,,,,,,0.0,-5653.8714780807495,28.278146266937256,0.0,63.52672288243428,0.0,False,90.0,0.0,0.0,204.0,551.0,0.0
production,models/production/results_response_policy_2x2_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_static,response_policy,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-5654.412445068359,-0.5409669876098633,0.9077645602271492,0.8240364968043895,0.0539162058362211,0.0319276121203973,True,pass,1.01,0.0,8.0,,,,,,1.0,-5654.412445068359,28.49788522720337,0.5409669876098633,63.50123544385004,0.1654024838571241,False,90.0,0.0,0.0,234.0,485.0,0.0
production,models/production/results_response_policy_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,response_policy,not_aligned,global,context_updating,full_sample,loo_elpd,-6023.596164703369,-369.26229190826416,0.8756943977373125,0.7668406782285144,0.0615410533321896,0.0371796086166047,False,fail,1.4,0.0,8.0,,,,,,2.0,-6023.596164703369,3.8782663345336914,369.26229190826416,63.49440656094776,21.16635311121338,False,90.0,2.0,1.0,9.0,25.0,0.0
production,models/production/results_response_policy_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,response_policy,not_aligned,global,context_fixed,full_sample,loo_elpd,-6023.923852443695,-369.5899796485901,0.8758719813282713,0.7671517276759116,0.06149486011621,0.0372186295893008,False,fail,1.34,0.0,8.0,,,,,,3.0,-6023.923852443695,4.102647304534912,369.5899796485901,63.390230235701026,21.13483402511665,False,90.0,4.0,1.0,10.0,44.0,0.0
production,models/production/results_response_policy_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,response_policy,not_aligned,incremental,context_updating,full_sample,loo_elpd,-5654.333872795105,0.0,0.9083283836833262,0.8250604526047639,0.0537147863976297,0.0318703650814911,True,pass,1.01,0.0,8.0,,,,,,0.0,-5654.333872795105,27.8181676864624,0.0,63.48027762980849,0.0,False,90.0,0.0,0.0,188.0,205.0,0.0
production,models/production/results_response_policy_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,response_policy,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-5655.125134944916,-0.791262149810791,0.9081212915084896,0.824684280091047,0.0537911021961455,0.0318615229961721,True,pass,1.01,0.0,8.0,,,,,,1.0,-5655.125134944916,27.77660894393921,0.791262149810791,63.4871444581267,0.167925495401691,False,90.0,0.0,0.0,201.0,205.0,0.0
production,models/production/results_response_policy_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,response_policy,not_aligned,incremental,context_updating,full_sample,loo_elpd,-5653.8714780807495,0.0,0.907698526755744,0.8239166154745483,0.0539362368143434,0.0319678101696617,True,pass,1.01,0.0,8.0,,,,,,0.0,-5653.8714780807495,28.278146266937256,0.0,63.52672288243428,0.0,False,90.0,0.0,0.0,204.0,551.0,0.0
production,models/production/results_response_policy_pilot,principled_salience_stop_regularized_responsepolicy_2x2_inc_static,response_policy,not_aligned,incremental,context_fixed,full_sample,loo_elpd,-5654.412445068359,-0.5409669876098633,0.9077645602271492,0.8240364968043895,0.0539162058362211,0.0319276121203973,True,pass,1.01,0.0,8.0,,,,,,1.0,-5654.412445068359,28.49788522720337,0.5409669876098633,63.50123544385004,0.1654024838571241,False,90.0,0.0,0.0,234.0,485.0,0.0
production,models/production/results_bounded_form_2x2_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_rec_fixedeps,bounded_form,production_specific_extension,global,context_updating,full_sample,loo_elpd,-5643.615892410278,-350.78892278671265,0.9110303685784548,0.8299763324721952,0.0528463002680356,0.0322269871217397,False,fail,1.63,0.0,8.0,,,,,,3.0,-5643.615892410278,6.546998500823975,350.78892278671265,63.43711810013747,23.728370997934476,True,90.0,5.0,1.0,7.0,18.0,0.0
production,models/production/results_bounded_form_2x2_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_glob_static_fixedeps,bounded_form,production_specific_extension,global,context_fixed,full_sample,loo_elpd,-5643.377087593079,-350.55011796951294,0.9110263913860116,0.8299690858018186,0.052797863297467,0.0323142616529427,False,fail,1.34,0.0,8.0,,,,,,2.0,-5643.377087593079,6.329853534698486,350.55011796951294,63.169055195520315,23.704591803179955,False,90.0,7.0,6.0,10.0,6.0,0.0
production,models/production/results_bounded_form_2x2_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.2155084609985,-1.3885388374328613,0.9474847128825984,0.8977272811462197,0.0412255795670946,0.0228573026297722,True,pass,1.0,0.0,8.0,,,,,,1.0,-5294.2155084609985,51.60803699493408,1.388538837432861,63.72847356076224,0.2880924587700371,False,90.0,0.0,0.0,496.0,606.0,0.0
production,models/production/results_bounded_form_2x2_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.826969623566,0.0,0.9476655960188626,0.898070081877786,0.0411632697751174,0.0228265824905228,True,pass,1.0,0.0,8.0,,,,,,0.0,-5292.826969623566,52.16674613952637,0.0,63.73853835431176,0.0,False,90.0,0.0,0.0,559.0,829.0,0.0
production,models/production/results_bounded_form_fixedeps_full_inc,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.54806137085,-1.7493209838867188,0.9471688412184864,0.8971288137751706,0.0413879076923858,0.022893442692567,True,pass,1.0,0.0,8.0,,,,,,1.0,-5294.54806137085,51.51814413070679,1.7493209838867188,63.7244577383887,0.2538902185998467,False,90.0,0.0,0.0,1939.0,3019.0,0.0
production,models/production/results_bounded_form_fixedeps_full_inc,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.798740386963,0.0,0.947427204620367,0.8976183080547627,0.0412834607274093,0.0228644739534152,True,pass,1.0,0.0,8.0,,,,,,0.0,-5292.798740386963,51.91961145401001,0.0,63.73913549478776,0.0,False,90.0,0.0,0.0,2064.0,3728.0,0.0
production,models/production/results_bounded_form_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.2155084609985,-1.3885388374328613,0.9474847128825984,0.8977272811462197,0.0412255795670946,0.0228573026297722,True,pass,1.0,0.0,8.0,,,,,,1.0,-5294.2155084609985,51.60803699493408,1.388538837432861,63.72847356076224,0.2880924587700371,False,90.0,0.0,0.0,496.0,606.0,0.0
production,models/production/results_bounded_form_fixedeps_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.826969623566,0.0,0.9476655960188626,0.898070081877786,0.0411632697751174,0.0228265824905228,True,pass,1.0,0.0,8.0,,,,,,0.0,-5292.826969623566,52.16674613952637,0.0,63.73853835431176,0.0,False,90.0,0.0,0.0,559.0,829.0,0.0
production,models/production/results_reliabilitybackup_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.2155084609985,-107.34685611724854,0.9474847128825984,0.8977272811462197,0.0412255795670946,0.0228573026297722,True,pass,1.0,0.0,10.0,,,,,,5.0,-5294.2155084609985,51.60803699493408,107.34685611724854,63.72847356076224,14.386468882942456,False,90.0,0.0,0.0,496.0,606.0,0.0
production,models/production/results_reliabilitybackup_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.826969623566,-105.95831727981567,0.9476655960188626,0.898070081877786,0.0411632697751174,0.0228265824905228,True,pass,1.0,0.0,10.0,,,,,,4.0,-5292.826969623566,52.16674613952637,105.95831727981567,63.73853835431176,14.32911767635816,False,90.0,0.0,0.0,559.0,829.0,0.0
production,models/production/results_sharp_form_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.2155084609985,-3.3280277252197266,0.9474847128825984,0.8977272811462197,0.0412255795670946,0.0228573026297722,True,pass,1.0,0.0,10.0,,,,,,3.0,-5294.2155084609985,51.60803699493408,3.3280277252197266,63.72847356076224,2.794451983184792,False,90.0,0.0,0.0,496.0,606.0,0.0
production,models/production/results_sharp_form_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.826969623566,-1.9394888877868652,0.9476655960188626,0.898070081877786,0.0411632697751174,0.0228265824905228,True,pass,1.0,0.0,10.0,,,,,,2.0,-5292.826969623566,52.16674613952637,1.9394888877868652,63.73853835431176,2.779231074865839,False,90.0,0.0,0.0,559.0,829.0,0.0
production,models/production/results_size_sharp_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,bounded_form,production_specific_extension,incremental,context_updating,full_sample,loo_elpd,-5294.2155084609985,-107.34685611724854,0.9474847128825984,0.8977272811462197,0.0412255795670946,0.0228573026297722,True,pass,1.0,0.0,10.0,,,,,,5.0,-5294.2155084609985,51.60803699493408,107.34685611724854,63.72847356076224,14.386468882942456,False,90.0,0.0,0.0,496.0,606.0,0.0
production,models/production/results_size_sharp_pilot,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,bounded_form,production_specific_extension,incremental,context_fixed,full_sample,loo_elpd,-5292.826969623566,-105.95831727981567,0.9476655960188626,0.898070081877786,0.0411632697751174,0.0228265824905228,True,pass,1.0,0.0,10.0,,,,,,4.0,-5292.826969623566,52.16674613952637,105.95831727981567,63.73853835431176,14.32911767635816,False,90.0,0.0,0.0,559.0,829.0,0.0
