dataset,path,filename,parsed_model,heldout_fold,n_folds,warmup,samples,chains,size_mb
slider,models/slider/inference_data/mcmc_results_incremental_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_incremental_static_speaker_hier_warmup500_samples500_chains4.nc,incremental_static,,,500,500,4,39.10539150238037
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_speaker_hier_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_speaker_hier_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored,,,500,500,4,39.746514320373535
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored,,,500,500,4,39.746514320373535
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,0.0,5.0,500,500,4,32.35060691833496
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,1.0,5.0,500,500,4,31.907665252685547
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,2.0,5.0,500,500,4,31.963807106018066
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,3.0,5.0,500,500,4,32.580265045166016
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,4.0,5.0,500,500,4,32.14290237426758
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,,,500,500,4,39.74387073516846
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_anchored_static_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_mixture_anchored_static,,,500,500,4,39.74387073516846
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture,0.0,5.0,500,500,4,32.13606071472168
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture,1.0,5.0,500,500,4,31.69281005859375
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture,2.0,5.0,500,500,4,31.746414184570312
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture,3.0,5.0,500,500,4,32.3613920211792
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture,4.0,5.0,500,500,4,31.94065570831299
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_mixture,,,500,500,4,39.45325946807861
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,0.0,5.0,500,500,4,32.136335372924805
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,1.0,5.0,500,500,4,31.694759368896484
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,2.0,5.0,500,500,4,31.748199462890625
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,3.0,5.0,500,500,4,32.36487674713135
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,4.0,5.0,500,500,4,31.93916130065918
slider,models/slider/inference_data/mcmc_results_planned_usefulness_mixture_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_mixture_static_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_mixture_static,,,500,500,4,39.453481674194336
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order,0.0,5.0,500,500,4,32.02220344543457
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order,1.0,5.0,500,500,4,31.585527420043945
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order,2.0,5.0,500,500,4,31.639718055725098
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order,3.0,5.0,500,500,4,32.23741054534912
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order,4.0,5.0,500,500,4,31.819881439208984
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_order,,,500,500,4,39.324907302856445
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order_static,0.0,5.0,500,500,4,32.00591278076172
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order_static,1.0,5.0,500,500,4,31.566770553588867
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order_static,2.0,5.0,500,500,4,31.628289222717285
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order_static,3.0,5.0,500,500,4,32.221757888793945
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_order_static,4.0,5.0,500,500,4,31.791834831237793
slider,models/slider/inference_data/mcmc_results_planned_usefulness_order_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_order_static_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_order_static,,,500,500,4,39.29147434234619
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,0.0,5.0,500,500,4,32.047316551208496
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,1.0,5.0,500,500,4,31.60046100616455
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,2.0,5.0,500,500,4,31.6657772064209
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,3.0,5.0,500,500,4,32.27364635467529
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,4.0,5.0,500,500,4,31.84501361846924
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_signed_order,,,500,500,4,39.3339204788208
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold0of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,0.0,5.0,500,500,4,32.03652000427246
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold1of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,1.0,5.0,500,500,4,31.582937240600586
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold2of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,2.0,5.0,500,500,4,31.64713478088379
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold3of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,3.0,5.0,500,500,4,32.26353645324707
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_fold4of5_tm_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,4.0,5.0,500,500,4,31.834452629089355
slider,models/slider/inference_data/mcmc_results_planned_usefulness_signed_order_static_speaker_hier_warmup500_samples500_chains4.nc,mcmc_results_planned_usefulness_signed_order_static_speaker_hier_warmup500_samples500_chains4.nc,planned_usefulness_signed_order_static,,,500,500,4,39.31510543823242
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,0.0,5.0,2000,2000,4,100.64303588867188
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,1.0,5.0,2000,2000,4,102.53448963165283
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,2.0,5.0,2000,2000,4,102.52559757232666
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,3.0,5.0,2000,2000,4,100.61331844329834
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,4.0,5.0,2000,2000,4,102.89621067047119
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_rec_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_rec,,,2000,2000,4,122.98469066619873
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,0.0,5.0,2000,2000,4,100.49606609344482
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,1.0,5.0,2000,2000,4,102.356764793396
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,2.0,5.0,2000,2000,4,102.31450176239014
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,3.0,5.0,2000,2000,4,100.43248081207275
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,4.0,5.0,2000,2000,4,102.67827987670898
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_glob_static,,,2000,2000,4,122.7695894241333
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_smoke_warmup5_samples5_chains1.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_glob_static_speaker_hier_smoke_warmup5_samples5_chains1.nc,production_anchor_reliabilitybackup_2x2_glob_static,,,5,5,1,8.752447128295898
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold0of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,0.0,5.0,2000,2000,4,114.16923141479492
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold1of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,1.0,5.0,2000,2000,4,115.4368896484375
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold2of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,2.0,5.0,2000,2000,4,116.11619853973389
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold3of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,3.0,5.0,2000,2000,4,113.60796928405762
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_fold4of5_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,4.0,5.0,2000,2000,4,116.06279754638672
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_relbackup2x2_warmup2000_samples2000_chains4.nc,production_anchor_reliabilitybackup_2x2_inc_rec,,,2000,2000,4,141.2798776626587
slider,models/slider/inference_data/mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_smoke_warmup5_samples5_chains1.nc,mcmc_results_production_anchor_reliabilitybackup_2x2_inc_rec_speaker_hier_smoke_warmup5_samples5_chains1.nc,production_anchor_reliabilitybackup_2x2_inc_rec,,,5,5,1,8.860607147216797
