candidate_family,claim_strength,same_model_claim_ok,ready_for_one_model_claim,available_in_both_datasets,missing_datasets,one_model_score,mean_fit_score,mean_ppc_score,mean_ppc_r2,mean_ppc_rmse,alignment_score,missing_dataset_penalty,slider_nonheldout_penalty,loose_claim_penalty,candidate_description,differentiation_notes,production_available,production_model_family,production_model,production_result_dir,production_primary_metric_name,production_primary_metric,production_ppc_r2,production_ppc_rmse,production_max_r_hat,production_n_divergent,slider_available,slider_model_family,slider_model,slider_result_dir,slider_primary_metric_name,slider_primary_metric,slider_ppc_r2,slider_ppc_rmse,slider_max_r_hat,slider_n_divergent,rank
strict_order_planning,strict_shared_family,True,True,True,,0.7947897596094626,0.6527777777777778,0.8037643925349727,0.9244212003839827,0.0536858490024639,0.95,0.0,0.0,0.0,Reliability-backup plus order-planning as the same shared speaker family.,Production uses the full utterance response space; slider uses the same order-planning family reduced to the DC/CD order contrast.,True,reliability_backup_order_planning,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,models/production/results_reliability_order_2x2_full,loo_elpd,-5219.623766899109,0.9392295962674782,0.03140748669974,,,True,reliability_backup_order_planning,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,models/slider/results_reliabilitybackup_orderplan_logalpha_2x2_heldout,heldout_elpd,-2846.4451293945312,0.9096128045004872,0.0759642113051878,1.0,0.0,1
strict_reliability_backup,strict_shared_family,True,True,True,,0.7737883609809821,0.6444444444444444,0.7092365869297906,0.8551302502515341,0.057369066959299546,1.0,0.0,0.0,0.0,"Reliability-backup speaker in both datasets, with slider-only reductions forced by the DC/CD response format and slider likelihood.",Production has the full utterance response space; slider reduces the same speaker family to the DC/CD order contrast.,True,reliability_backup_shared,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,models/production/results_reliabilitybackup_2x2_full,loo_elpd,-5218.574770927429,0.938831962566982,0.0315102439767805,1.0,0.0,True,reliability_backup_shared_logalpha_slider,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,models/slider/results_reliabilitybackup_logalpha_2x2_heldout,heldout_elpd,-2858.9310302734375,0.7714285379360861,0.0832278899418186,1.0,0.0,2
loose_order_planning_bridge,loose_theoretical_bridge,False,False,True,,0.6116930658938309,0.8902777777777777,0.8717024104903102,0.9490358566126842,0.055605597766854004,0.65,0.0,0.0,0.2,Production reliability-backup order-planning paired with slider planned-usefulness/order variants.,"Useful as evidence that order-sensitive planning helps, but too different to report as literally one model across datasets.",True,reliability_backup_order_planning,principled_salience_stop_regularized_responsepolicy_reliabilitybackup_orderplan_2x2_inc_static_fixedeps,models/production/results_reliability_order_2x2_full,loo_elpd,-5219.623766899109,0.9392295962674782,0.03140748669974,,,True,planned_usefulness_signed_order,planned_usefulness_signed_order_static,models/slider/results_anchored_heldout_pilot,heldout_elpd,-2764.4097290039062,0.9588421169578903,0.079803708833968,1.01,0.0,3
loose_greedy_baseline,loose_baseline,False,False,True,,0.3226134304317109,0.48657407407407405,0.5351785843022427,0.8729325851444487,0.06877080235007395,0.55,0.0,0.0,0.2,Older greedy incremental/static baseline family.,"Useful as a reference baseline, but it is not the current production-anchor speaker family.",True,response_policy,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,models/production/results_response_policy_2x2_pilot,loo_elpd,-5653.8714780807495,0.8239166154745483,0.0539362368143434,1.01,0.0,True,slider_greedy_incremental,incremental_recursive,models/slider/results_anchored_heldout_pilot,heldout_elpd,-2765.744140625,0.921948554814349,0.0836053678858045,1.01,0.0,4
