relevant_property,sharpness,emp_mean,n,pred_mean_incremental_recursive,pred_lo_incremental_recursive,pred_hi_incremental_recursive,pred_mean_incremental_static,pred_lo_incremental_static,pred_hi_incremental_static,pred_mean_planned_usefulness_order,pred_lo_planned_usefulness_order,pred_hi_planned_usefulness_order,pred_mean_planned_usefulness_order_static,pred_lo_planned_usefulness_order_static,pred_hi_planned_usefulness_order_static
both,blurred,0.7456020075441603,598,0.67625546,0.6431779623031616,0.708099539577961,0.6762401,0.6430992305278778,0.7077499344944954,0.68756133,0.6554743900895119,0.7180566146969795,0.68835133,0.6559398218989372,0.7188784718513488
both,sharp,0.7039198614267522,574,0.6828643,0.6486908167600631,0.7142140746116638,0.682753,0.6483917236328125,0.7133881777524947,0.6947094,0.6605912208557129,0.7256445899605751,0.694927,0.6596955090761185,0.7269614413380623
first,blurred,0.8004220194738666,545,0.7208046,0.68776585906744,0.7532410994172096,0.72071904,0.6879150286316872,0.7523356065154075,0.7173646,0.6839258968830109,0.7499657005071639,0.71681434,0.6829900190234184,0.7490498423576355
first,sharp,0.8430052735958975,569,0.7242041,0.6912437617778778,0.75511354804039,0.7241966,0.6896637514233589,0.7563799738883972,0.7200299,0.6870554372668266,0.75189910531044,0.7198748,0.6880979657173156,0.7505447790026665
second,blurred,0.5622611471576391,628,0.6402827,0.6062892228364944,0.6736545175313949,0.6402144,0.6071174383163452,0.6725979685783386,0.63026893,0.598145617544651,0.6632028505206108,0.6297302,0.5962871715426445,0.6648507013916969
second,sharp,0.5434676018329876,571,0.6441992,0.6083398208022117,0.679141029715538,0.6442,0.6087021648883819,0.6781625643372535,0.6329584,0.599384893476963,0.666732668876648,0.6328254,0.5981079757213592,0.6664563730359077
