model,scope,n_points,r,r2,mae,rmse,slope,intercept
incremental_recursive,all_cells,6,0.9601815218042623,0.921948554814349,0.07792897134373493,0.08360536788580454,0.28035378384289134,0.48524918526507854
incremental_recursive,nonzero_cells,6,0.9601815218042623,0.921948554814349,0.07792897134373493,0.08360536788580454,0.28035378384289134,0.48524918526507854
incremental_static,all_cells,6,0.9602555777542033,0.9220907746080589,0.07795434305419431,0.08361708600591357,0.2803329410957676,0.48521590806564957
incremental_static,nonzero_cells,6,0.9602555777542033,0.9220907746080589,0.07795434305419431,0.08361708600591357,0.2803329410957676,0.48521590806564957
planned_usefulness_mixture,all_cells,6,0.9792690985720856,0.958967967418185,0.07232456514586912,0.08005261334120319,0.3120801060885712,0.46260248396519205
planned_usefulness_mixture,nonzero_cells,6,0.9792690985720856,0.958967967418185,0.07232456514586912,0.08005261334120319,0.3120801060885712,0.46260248396519205
planned_usefulness_mixture_anchored,all_cells,6,0.9798419759519003,0.9600902978373242,0.07118588794618752,0.07888353794981626,0.31933425480294475,0.4592202118467313
planned_usefulness_mixture_anchored,nonzero_cells,6,0.9798419759519003,0.9600902978373242,0.07118588794618752,0.07888353794981626,0.31933425480294475,0.4592202118467313
planned_usefulness_mixture_anchored_static,all_cells,6,0.9798025547789255,0.9600130463513094,0.07103879361698932,0.07879905860312855,0.3197410090858447,0.4591280865447769
planned_usefulness_mixture_anchored_static,nonzero_cells,6,0.9798025547789255,0.9600130463513094,0.07103879361698932,0.07879905860312855,0.3197410090858447,0.4591280865447769
planned_usefulness_mixture_static,all_cells,6,0.9799530392731951,0.9603079591807723,0.07213130701929238,0.07986706676125033,0.31395564065012976,0.46117872130268295
planned_usefulness_mixture_static,nonzero_cells,6,0.9799530392731951,0.9603079591807723,0.07213130701929238,0.07986706676125033,0.31395564065012976,0.46117872130268295
planned_usefulness_order,all_cells,6,0.9790927659858174,0.9586226444057586,0.07179708390782184,0.07969597876936103,0.31658293145521366,0.4589438059018513
planned_usefulness_order,nonzero_cells,6,0.9790927659858174,0.9586226444057586,0.07179708390782184,0.07969597876936103,0.31658293145521366,0.4589438059018513
planned_usefulness_order_static,all_cells,6,0.9793019719446476,0.9590323522546754,0.07163476059188352,0.07963118900414819,0.31729753675770833,0.4583821481858017
planned_usefulness_order_static,nonzero_cells,6,0.9793019719446476,0.9590323522546754,0.07163476059188352,0.07963118900414819,0.31729753675770833,0.4583821481858017
planned_usefulness_signed_order,all_cells,6,0.9788319937882424,0.9581120720634657,0.07195977478573627,0.07988884820595753,0.314647012331642,0.46037278016541444
planned_usefulness_signed_order,nonzero_cells,6,0.9788319937882424,0.9581120720634657,0.07195977478573627,0.07988884820595753,0.314647012331642,0.46037278016541444
planned_usefulness_signed_order_static,all_cells,6,0.9792048391209525,0.9588421169578903,0.07178133834749367,0.07980370883396806,0.3155613146103706,0.45965578202014645
planned_usefulness_signed_order_static,nonzero_cells,6,0.9792048391209525,0.9588421169578903,0.07178133834749367,0.07980370883396806,0.3155613146103706,0.45965578202014645
