relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.010710687272056423,0.0035335689045936395,0.02045053003533567,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.05789399293286219,0.038869257950530034,0.07950530035335689,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.23119434628975263,0.19341872791519435,0.2667844522968198,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.11075265017667844,0.08480565371024736,0.13957597173144876,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.020296819787985865,0.0088339222614841,0.03180212014134275,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.047226148409893996,0.029107773851590107,0.06537102473498234,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.004841741222464477,0.0017667844522968198,0.01060070671378092,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.07573498233215548,0.054770318021201414,0.10070671378091872,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.2881519434628975,0.24465547703180213,0.3286219081272085,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.021681978798586573,0.01060070671378092,0.0353356890459364,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.08091519434628976,0.061837455830388695,0.10424028268551237,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.0031273029610173657,0.0017667844522968198,0.007067137809187279,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.0036537280487045068,0.0017667844522968198,0.0088339222614841,both | blurred
