model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws
Global,color_form,both,blurred,Exact response,D,0.0037037037037037,0.0021462962962962,0.0,0.0074074074074074,540,16000
Global,color_form,both,blurred,Exact response,DC,0.0259259259259259,0.031495949074074,0.0185185185185185,0.0462962962962962,540,16000
Global,color_form,both,blurred,Exact response,DCF,0.0814814814814814,0.1349306712962963,0.1074074074074074,0.1629629629629629,540,16000
Global,color_form,both,blurred,Exact response,DF,0.0222222222222222,0.1156225694444444,0.0907407407407407,0.1425925925925926,540,16000
Global,color_form,both,blurred,Exact response,DFC,0.0111111111111111,0.0603583333333333,0.0407407407407407,0.0814814814814814,540,16000
Global,color_form,both,blurred,Exact response,C,0.0074074074074074,0.0601586805555555,0.0407407407407407,0.0814814814814814,540,16000
Global,color_form,both,blurred,Exact response,CD,0.0,0.0005638888888888,0.0,0.0037037037037037,540,16000
Global,color_form,both,blurred,Exact response,CDF,0.0074074074074074,0.0077538194444444,0.0018518518518518,0.0166666666666666,540,16000
Global,color_form,both,blurred,Exact response,CF,0.7592592592592593,0.3352351851851852,0.2962962962962963,0.3759259259259259,540,16000
Global,color_form,both,blurred,Exact response,CFD,0.0037037037037037,0.003440625,0.0,0.0092592592592592,540,16000
Global,color_form,both,blurred,Exact response,F,0.0129629629629629,0.1388048611111111,0.1092592592592592,0.1685185185185185,540,16000
Global,color_form,both,blurred,Exact response,FD,0.0018518518518518,0.000887037037037,0.0,0.0037037037037037,540,16000
Global,color_form,both,blurred,Exact response,FDC,0.0,0.0048186342592592,0.0,0.0111111111111111,540,16000
Global,color_form,both,blurred,Exact response,FC,0.0629629629629629,0.1022016203703703,0.0777777777777777,0.1277777777777777,540,16000
Global,color_form,both,blurred,Exact response,FCD,0.0,0.0015818287037037,0.0,0.0055555555555555,540,16000
Global,color_form,both,blurred,Response length,1,0.024074074074074,0.2011098379629629,0.1685185185185185,0.2351851851851852,540,16000
Global,color_form,both,blurred,Response length,2,0.8722222222222222,0.5860062500000001,0.5425925925925926,0.6277777777777778,540,16000
Global,color_form,both,blurred,Response length,3,0.1037037037037037,0.212883912037037,0.1814814814814815,0.2462962962962963,540,16000
Global,color_form,both,blurred,Initial adjective,D,0.1444444444444444,0.3445538194444444,0.3092592592592592,0.3814814814814815,540,16000
Global,color_form,both,blurred,Initial adjective,C,0.7777777777777778,0.4071521990740741,0.3666666666666666,0.4481481481481481,540,16000
Global,color_form,both,blurred,Initial adjective,F,0.0777777777777777,0.2482939814814815,0.2111111111111111,0.2851851851851852,540,16000
Global,color_form,both,sharp,Exact response,D,0.0041928721174004,0.0027883909853249,0.0,0.0083857442348008,477,16000
Global,color_form,both,sharp,Exact response,DC,0.0146750524109014,0.0264361897274633,0.0125786163522012,0.0419287211740041,477,16000
Global,color_form,both,sharp,Exact response,DCF,0.1090146750524109,0.0959161425576519,0.0712788259958071,0.1236897274633123,477,16000
Global,color_form,both,sharp,Exact response,DF,0.050314465408805,0.0911915618448637,0.0670859538784067,0.1174004192872117,477,16000
Global,color_form,both,sharp,Exact response,DFC,0.0230607966457023,0.0474071016771488,0.0293501048218029,0.0670859538784067,477,16000
Global,color_form,both,sharp,Exact response,C,0.0020964360587002,0.0762844601677148,0.0524109014675052,0.10062893081761,477,16000
Global,color_form,both,sharp,Exact response,CD,0.0,0.0007110849056603,0.0,0.0041928721174004,477,16000
Global,color_form,both,sharp,Exact response,CDF,0.0020964360587002,0.0083912473794549,0.0020964360587002,0.0167714884696016,477,16000
