combination,relevant_property,sharpness,category,observed_mean,observed_lower,observed_upper,summary_type
color_form,both,blurred,C,0.007407407407407408,0,0.016666666666666666,Exact response
color_form,both,blurred,CD,0,0,0,Exact response
color_form,both,blurred,CDF,0.007407407407407408,0,0.016666666666666666,Exact response
color_form,both,blurred,CF,0.7592592592592593,0.7018518518518518,0.812962962962963,Exact response
color_form,both,blurred,CFD,0.003703703703703704,0,0.009259259259259259,Exact response
color_form,both,blurred,D,0.003703703703703704,0,0.009259259259259259,Exact response
color_form,both,blurred,DC,0.025925925925925925,0.011111111111111112,0.044444444444444446,Exact response
color_form,both,blurred,DCF,0.08148148148148149,0.05185185185185185,0.11851851851851852,Exact response
color_form,both,blurred,DF,0.022222222222222223,0.011111111111111112,0.03518518518518519,Exact response
color_form,both,blurred,DFC,0.011111111111111112,0,0.03148148148148148,Exact response
color_form,both,blurred,F,0.012962962962962963,0.003703703703703704,0.024074074074074074,Exact response
color_form,both,blurred,FC,0.06296296296296296,0.03148148148148148,0.10740740740740741,Exact response
color_form,both,blurred,FCD,0,0,0,Exact response
color_form,both,blurred,FD,0.001851851851851852,0,0.005555555555555556,Exact response
color_form,both,blurred,FDC,0,0,0,Exact response
color_form,both,sharp,C,0.0020964360587002098,0,0.006289308176100629,Exact response
color_form,both,sharp,CD,0,0,0,Exact response
color_form,both,sharp,CDF,0.0020964360587002098,0,0.006289308176100629,Exact response
color_form,both,sharp,CF,0.7253668763102725,0.6519916142557652,0.7966457023060797,Exact response
color_form,both,sharp,CFD,0,0,0,Exact response
color_form,both,sharp,D,0.0041928721174004195,0,0.010482180293501049,Exact response
color_form,both,sharp,DC,0.014675052410901468,0.0041928721174004195,0.027253668763102725,Exact response
color_form,both,sharp,DCF,0.1090146750524109,0.06079664570230608,0.16352201257861634,Exact response
color_form,both,sharp,DF,0.050314465408805034,0.027253668763102725,0.07756813417190776,Exact response
color_form,both,sharp,DFC,0.023060796645702306,0.006289308176100629,0.0440251572327044,Exact response
color_form,both,sharp,F,0.0041928721174004195,0,0.010482180293501049,Exact response
color_form,both,sharp,FC,0.0649895178197065,0.033542976939203356,0.10272536687631027,Exact response
color_form,both,sharp,FCD,0,0,0,Exact response
color_form,both,sharp,FD,0,0,0,Exact response
color_form,both,sharp,FDC,0,0,0,Exact response
color_form,first,blurred,C,0.6314814814814815,0.5351851851851852,0.7203703703703703,Exact response
color_form,first,blurred,CD,0,0,0,Exact response
color_form,first,blurred,CDF,0.007407407407407408,0,0.022222222222222223,Exact response
color_form,first,blurred,CF,0.2518518518518518,0.17407407407407408,0.337037037037037,Exact response
color_form,first,blurred,CFD,0,0,0,Exact response
color_form,first,blurred,D,0.005555555555555556,0,0.012962962962962963,Exact response
