semantics,rule,support,order,parameter_set,metric,mean,variance,groups,mcse,lower_mc95,upper_mc95
fixed,kernel_global,two,neutral,fitted_constants,listener_advantage,7.667477763817487e-19,1.0288811872871316e-35,24,1.3365074116002431e-19,5.047923237081011e-19,1.0287032290553964e-18
fixed,kernel_global,two,neutral,fitted_constants,speaker_size_first_given_set,0.5,7.064287901718756e-35,24,3.502054927933274e-19,0.5,0.5
fixed,kernel_global,two,neutral,original_grid,listener_advantage,-5.070203516292319e-19,2.8200222374373766e-37,24,2.212661731940842e-20,-5.503885215752724e-19,-4.636521816831914e-19
fixed,kernel_global,two,neutral,original_grid,speaker_size_first_given_set,0.5,8.945260202158933e-38,24,1.2461928273244131e-20,0.5,0.5
fixed,kernel_incremental,two,neutral,fitted_constants,listener_advantage,0.009835854296304925,7.228592735875307e-06,24,0.00011202517648479821,0.00961628495039472,0.010055423642215129
fixed,kernel_incremental,two,neutral,fitted_constants,speaker_size_first_given_set,0.5226024511659587,3.755772548443006e-06,24,8.074923189825397e-05,0.5224441826714381,0.5227607196604793
fixed,kernel_incremental,two,neutral,original_grid,listener_advantage,-0.008063238509660408,5.317542950423305e-05,24,0.000303839520142467,-0.008658763969139643,-0.0074677130501811725
fixed,kernel_incremental,two,neutral,original_grid,speaker_size_first_given_set,0.48901521877668785,3.621263962587257e-05,24,0.00025073724497397644,0.4885237737765389,0.4895066637768368
fixed,original_global,two,neutral,fitted_constants,listener_advantage,-1.1131142304184516e-19,1.1022159968088948e-35,24,1.3833182710079164e-19,-3.8244180415939675e-19,1.5981895807570644e-19
fixed,original_global,two,neutral,fitted_constants,speaker_size_first_given_set,0.5,7.49767033565094e-35,24,3.6078787087666583e-19,0.5,0.5
fixed,original_global,two,neutral,original_grid,listener_advantage,-1.2580908537174194e-19,2.124175295783754e-37,24,1.9203656768849796e-20,-1.6344825263868756e-19,-8.816991810479634e-20
fixed,original_global,two,neutral,original_grid,speaker_size_first_given_set,0.5,4.935315973604929e-38,24,9.256487940152933e-21,0.5,0.5
fixed,original_incremental,two,neutral,fitted_constants,listener_advantage,0.009719206645484429,7.224419871997265e-06,24,0.00011199283732054638,0.009499700684336159,0.0099387126066327
fixed,original_incremental,two,neutral,fitted_constants,speaker_size_first_given_set,0.5222511482564833,3.722981371632875e-06,24,8.039595341652165e-05,0.522093572187787,0.5224087243251797
fixed,original_incremental,two,neutral,original_grid,listener_advantage,-0.008499625200277063,5.316444497363896e-05,24,0.0003038081362221721,-0.00909508914727252,-0.007904161253281606
