semantics,speaker,nobj,sd_spread,color_semvalue,k,wf,n_scenes,mean_big_blue,mean_blue_big,mean_advantage,mcse_advantage
static,global_speaker,2,2.0,0.96,0.3,0.8,1000,0.5,0.5,-4.107825191113079e-18,1.7655125387035537e-18
static,global_speaker,2,2.0,0.98,0.3,0.1,1000,0.5,0.5,4.440892098500626e-19,2.1264491172319574e-18
static,global_speaker,2,2.0,0.98,0.3,0.2,1000,0.5,0.5,-2.4424906541753442e-18,2.2655961743408887e-18
static,global_speaker,2,2.0,0.98,0.3,0.3,1000,0.5,0.5,-8.881784197001253e-19,2.285711297714224e-18
static,global_speaker,2,2.0,0.98,0.3,0.5,1000,0.5,0.5,-7.216449660063517e-19,2.0964242166704183e-18
static,global_speaker,2,2.0,0.98,0.3,0.8,1000,0.5,0.5,-1.2212453270876721e-18,2.102803844456587e-18
static,global_speaker,2,2.0,0.9,0.5,0.1,1000,0.5,0.5,-2.886579864025407e-18,1.79906352546258e-18
static,global_speaker,2,2.0,0.9,0.5,0.2,1000,0.5,0.5,-3.663735981263017e-18,1.8500749576393632e-18
static,global_speaker,2,2.0,0.9,0.5,0.3,1000,0.5,0.5,-3.719247132494275e-18,1.870690090001966e-18
static,global_speaker,2,2.0,0.9,0.5,0.5,1000,0.5,0.5,-2.7200464103316336e-18,1.9498822935227177e-18
static,global_speaker,2,2.0,0.9,0.5,0.8,1000,0.5,0.5,-5.828670879282072e-18,1.9174809740968967e-18
static,global_speaker,2,2.0,0.92,0.5,0.1,1000,0.5,0.5,8.881784197001253e-19,1.8484903735658556e-18
static,global_speaker,2,2.0,0.92,0.5,0.2,1000,0.5,0.5,-1.609823385706477e-18,1.8736952615757406e-18
static,global_speaker,2,2.0,0.92,0.5,0.3,1000,0.5,0.5,-3.885780586188048e-19,1.9310869966170693e-18
static,global_speaker,2,2.0,0.92,0.5,0.5,1000,0.5,0.5,-5.551115123125783e-19,2.043575955381845e-18
static,global_speaker,2,2.0,0.92,0.5,0.8,1000,0.5,0.5,-1.609823385706477e-18,2.037725450059459e-18
static,global_speaker,2,2.0,0.94,0.5,0.1,1000,0.5,0.5,9.992007221626408e-19,1.7348035457694775e-18
