model,combination,relevant_property,sharpness,summary_type,category,observed_proportion,predicted_mean,predicted_q025,predicted_q975,observation_count,posterior_predictive_draws,observed_mean,observed_lower,observed_upper,display_response,context,discriminability
Plan-guided,dimension_color,both,blurred,Exact response,S,0,0.00437940630797773,0,0.0111317254174397,539,4000,0,0,0,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,SC,0.06679035250463822,0.0406038961038961,0.02411873840445269,0.0575139146567718,539,4000,0.06679035250463822,0.03703703703703703,0.1038961038961039,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,SCF,0.313543599257885,0.19996289424860855,0.16512059369202226,0.23562152133580705,539,4000,0.313543599257885,0.2504638218923933,0.378496251491472,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,SF,0.08163265306122448,0.18326020408163263,0.150278293135436,0.2189239332096475,539,4000,0.08163265306122448,0.05400372439478584,0.11131725417439704,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,SFC,0.02968460111317254,0.04500092764378479,0.02782931354359925,0.06307977736549165,539,4000,0.02968460111317254,0.00555555555555555,0.06307977736549165,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,C,0.00927643784786642,0.04078014842300556,0.02592764378478666,0.05936920222634508,539,4000,0.00927643784786642,0,0.02407407407407407,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,CDF,0.05194805194805195,0.01472077922077922,0.00556586270871985,0.02597402597402597,539,4000,0.05194805194805195,0.02411873840445269,0.08348794063079777,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,CF,0.2764378478664193,0.27750556586270875,0.2374768089053803,0.31910946196660483,539,4000,0.2764378478664193,0.2240740740740741,0.32838589981447125,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,F,0.11873840445269015,0.12474350649350648,0.09647495361781076,0.15398886827458255,539,4000,0.11873840445269015,0.0962962962962963,0.1425925925925926,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,blurred,Exact response,FC,0.03710575139146568,0.05409322820037106,0.03525046382189239,0.07235621521335807,539,4000,0.03710575139146568,0.01296296296296296,0.07037037037037037,TRUE,Both necessary,Low
Plan-guided,dimension_color,both,sharp,Exact response,S,0,0.0090609243697479,0.00210084033613445,0.01890756302521008,476,4000,0,0,0,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,SC,0.19747899159663865,0.05014810924369747,0.0315126050420168,0.07142857142857142,476,4000,0.19747899159663865,0.13836477987421383,0.26260504201680673,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,SCF,0.30462184873949577,0.2085913865546219,0.17016806722689076,0.24579831932773108,476,4000,0.30462184873949577,0.24579831932773108,0.36554621848739494,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,SF,0.11134453781512606,0.2022295168067227,0.16806722689075632,0.23949579831932777,476,4000,0.11134453781512606,0.07756813417190776,0.14947368421052631,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,SFC,0.0315126050420168,0.05039023109243697,0.0315126050420168,0.07142857142857142,476,4000,0.0315126050420168,0.01052631578947368,0.05672268907563025,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,C,0,0.04286712184873949,0.02521008403361344,0.06302521008403361,476,4000,0,0,0,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,CDF,0.02941176470588235,0.02091491596638655,0.00840336134453781,0.03366596638655481,476,4000,0.02941176470588235,0.00840336134453781,0.05894736842105263,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,CF,0.203781512605042,0.2144873949579832,0.17857142857142858,0.25210084033613445,476,4000,0.203781512605042,0.14705882352941177,0.2620545073375262,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,F,0.08403361344537816,0.13029936974789916,0.10084033613445378,0.16176470588235295,476,4000,0.08403361344537816,0.05485232067510549,0.11554621848739496,TRUE,Both necessary,High
Plan-guided,dimension_color,both,sharp,Exact response,FC,0.02310924369747899,0.05116334033613445,0.03361344537815126,0.07142857142857142,476,4000,0.02310924369747899,0.01048218029350104,0.03983228511530398,TRUE,Both necessary,High
Plan-guided,dimension_color,first,blurred,Exact response,S,0.0588235294117647,0.03265085388994307,0.01707779886148007,0.04933586337760911,527,4000,0.0588235294117647,0.02676864244741874,0.09604791395045634,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,SC,0.04364326375711575,0.0324881404174573,0.01897533206831119,0.04933586337760911,527,4000,0.04364326375711575,0.02268324000428006,0.06705302579036779,TRUE,Size sufficient,Low
Plan-guided,dimension_color,first,blurred,Exact response,SCF,0.3055028462998102,0.17231925996204933,0.13851992409867173,0.206831119544592,527,4000,0.3055028462998102,0.23773351746897195,0.3818525519848771,TRUE,Size sufficient,Low
