contrast,semantics,rule,support,order,parameter_set,mean,variance,groups,mcse,lower_mc95,upper_mc95
corrected_kernel_minus_original,fixed,kernel_global,two,neutral,fitted_constants,8.780591994235938e-19,2.0030711838286654e-35,24,1.8648201357212532e-19,5.125544528222282e-19,1.2435639460249595e-18
corrected_kernel_minus_original,fixed,kernel_global,two,neutral,original_grid,-3.8121126625749e-19,4.178358434917658e-37,24,2.6933426267494038e-20,-4.340007817417783e-19,-3.284217507732017e-19
corrected_kernel_minus_original,fixed,kernel_incremental,two,neutral,fitted_constants,0.00011664765082049184,2.1932967524157786e-09,24,1.9513602593660017e-06,0.00011282298471213448,0.00012047231692884921
corrected_kernel_minus_original,fixed,kernel_incremental,two,neutral,original_grid,0.00043638669061662745,2.5902015446132817e-08,24,6.705876289956654e-06,0.0004232431730883124,0.0004495302081449425
corrected_kernel_minus_original,updating,kernel_global,two,neutral,fitted_constants,-0.0001502689821282465,1.164927670956513e-08,24,4.497158962265389e-06,-0.00015908341369428664,-0.00014145455056220634
corrected_kernel_minus_original,updating,kernel_global,two,neutral,original_grid,-0.003230229142920678,2.6248550540078264e-06,24,6.750585177833951e-05,-0.0033625406124062236,-0.0030979176734351327
corrected_kernel_minus_original,updating,kernel_incremental,two,neutral,fitted_constants,4.5301164590355165e-05,1.8975236088302905e-09,24,1.8150239174418393e-06,4.174371771216916e-05,4.885861146854117e-05
corrected_kernel_minus_original,updating,kernel_incremental,two,neutral,original_grid,-0.0020462729392498554,1.8826060093592793e-06,24,5.71700377006452e-05,-0.00215832621314312,-0.0019342196653565908
fitted_constants_minus_grid_average,fixed,prefix_k0,fifteen,neutral,paired_constants,-0.006980367434097791,4.882342061070555e-05,24,0.0002911406584534306,-0.0075510031246665155,-0.0064097317435290665
fitted_constants_minus_grid_average,fixed,prefix_k0,four,neutral,paired_constants,-0.003696589546249404,4.7380011830551076e-05,24,0.00028680475062940573,-0.0042587268574830394,-0.003134452235015769
fitted_constants_minus_grid_average,fixed,prefix_k0,two,neutral,paired_constants,0.047734384547640625,0.00022464494026254325,24,0.0006245066667736167,0.046510351480764336,0.048958417614516914
fitted_constants_minus_grid_average,fixed,prefix_k05,fifteen,neutral,paired_constants,0.004056795009787075,4.480802649448986e-05,24,0.0002789116574545512,0.0035101281611761544,0.004603461858397996
fitted_constants_minus_grid_average,fixed,prefix_k05,four,neutral,paired_constants,0.036997894686417614,0.0001472349867431268,24,0.0005055851030529278,0.03600694788443388,0.03798884148840135
fitted_constants_minus_grid_average,fixed,prefix_k05,two,neutral,paired_constants,0.04773438454764062,0.00022464494026254325,24,0.0006245066667736167,0.04651035148076433,0.04895841761451691
fitted_constants_minus_grid_average,fixed,prefix_k1,fifteen,neutral,paired_constants,0.0032020456240935175,2.0027528551208802e-05,24,0.00018646719509299382,0.0028365699217112496,0.0035675213264757854
fitted_constants_minus_grid_average,fixed,prefix_k1,four,neutral,paired_constants,0.04773438454764062,0.00022464494026254325,24,0.0006245066667736167,0.04651035148076433,0.04895841761451691
fitted_constants_minus_grid_average,fixed,prefix_k1,two,neutral,paired_constants,0.04773438454764062,0.00022464494026254325,24,0.0006245066667736167,0.04651035148076433,0.04895841761451691
