parameter,posterior_mean,posterior_median,posterior_q025,posterior_q975
Pragmatic optimality location,0.9237393999871885,0.9215094734633541,0.768513586009547,1.0933666918548786
Successive-choice population location,0.47184776707123727,0.47103240944308017,0.3370841645888782,0.618230711647564
Stable-order log-weight location,0.9623570742792675,0.9623526408849965,0.8884958766026497,1.0367998490292643
Pragmatic optimality participant SD,0.799655413548411,0.7971600985410017,0.6879275989741306,0.9224994171459943
Successive-choice participant SD,2.71952090011926,2.712660905058869,2.276533237553601,3.206907418496679
Stable-order participant SD,0.353082772308882,0.3514855911011322,0.2971239871277337,0.41969973465168814
