id,pattern,measure,value
35,Stable order favoured,Three adjectives,0.08641975308641975
35,Stable order favoured,Size initial,0.07272727272727272
35,Stable order favoured,Canonical order,0.6727272727272727
36,Middle 70%,One adjective,0.6049382716049383
36,Middle 70%,Three adjectives,0.03703703703703703
36,Middle 70%,Size initial,0.65625
36,Middle 70%,Canonical order,1
37,Middle 70%,One adjective,0.5974025974025974
37,Middle 70%,Three adjectives,0.09090909090909093
37,Middle 70%,Size initial,0.5483870967741935
37,Middle 70%,Canonical order,0.967741935483871
38,Middle 70%,One adjective,0.19753086419753085
38,Middle 70%,Three adjectives,0.2962962962962963
38,Middle 70%,Size initial,0.3692307692307693
38,Middle 70%,Canonical order,0.6615384615384615
39,Successive choice favoured,One adjective,0
39,Successive choice favoured,Three adjectives,0.32098765432098764
39,Successive choice favoured,Size initial,0.30864197530864196
39,Successive choice favoured,Canonical order,0.9876543209876544
40,Middle 70%,One adjective,0.48148148148148145
40,Middle 70%,Three adjectives,0.13580246913580246
40,Middle 70%,Size initial,0.6904761904761905
40,Middle 70%,Canonical order,0.9047619047619048
41,Middle 70%,One adjective,0.5185185185185185
41,Middle 70%,Three adjectives,0.13580246913580246
41,Middle 70%,Size initial,0.6923076923076923
41,Middle 70%,Canonical order,0.9230769230769232
42,Middle 70%,One adjective,0.5555555555555556
42,Middle 70%,Three adjectives,0.06172839506172839
42,Middle 70%,Size initial,0.5555555555555556
42,Middle 70%,Canonical order,0.75
43,Stable order favoured,One adjective,0.30864197530864196
43,Stable order favoured,Three adjectives,0.13580246913580246
43,Stable order favoured,Size initial,0.6071428571428571
43,Stable order favoured,Canonical order,1
44,Successive choice favoured,One adjective,0.18518518518518515
44,Successive choice favoured,Three adjectives,0.2345679012345679
44,Successive choice favoured,Size initial,0.3333333333333333
44,Successive choice favoured,Canonical order,1
45,Successive choice favoured,One adjective,0.32098765432098764
45,Successive choice favoured,Three adjectives,0.32098765432098764
45,Successive choice favoured,Size initial,0.38181818181818183
45,Successive choice favoured,Canonical order,0.7636363636363637
46,Middle 70%,One adjective,0.2345679012345679
46,Middle 70%,Three adjectives,0.2716049382716049
46,Middle 70%,Size initial,0.4516129032258064
46,Middle 70%,Canonical order,1
47,Middle 70%,One adjective,0.24691358024691357
47,Middle 70%,Three adjectives,0.4567901234567901
47,Middle 70%,Size initial,0.01639344262295082
47,Middle 70%,Canonical order,0.4098360655737705
48,Middle 70%,One adjective,0
48,Middle 70%,Three adjectives,0.2307692307692308
48,Middle 70%,Size initial,0.21794871794871795
48,Middle 70%,Canonical order,0.01282051282051282
49,Middle 70%,One adjective,0.4444444444444444
49,Middle 70%,Three adjectives,0.02469135802469135
49,Middle 70%,Size initial,0.6888888888888889
49,Middle 70%,Canonical order,1
50,Middle 70%,One adjective,0.4074074074074074
50,Middle 70%,Three adjectives,0.20987654320987653
50,Middle 70%,Size initial,0.7083333333333334
50,Middle 70%,Canonical order,0.9583333333333334
51,Stable order favoured,One adjective,0.26582278481012656
51,Stable order favoured,Three adjectives,0.4810126582278481
51,Stable order favoured,Size initial,0.913793103448276
51,Stable order favoured,Canonical order,0.913793103448276
52,Successive choice favoured,One adjective,0.19753086419753085
52,Successive choice favoured,Three adjectives,0.1728395061728395
52,Successive choice favoured,Size initial,0.3230769230769231
52,Successive choice favoured,Canonical order,0.9846153846153848
53,Middle 70%,One adjective,0.5064935064935064
53,Middle 70%,Three adjectives,0.1038961038961039
53,Middle 70%,Size initial,0.6842105263157895
53,Middle 70%,Canonical order,0.9736842105263158
54,Middle 70%,One adjective,0.5679012345679012
54,Middle 70%,Three adjectives,0.08641975308641975
54,Middle 70%,Size initial,0.5714285714285714
54,Middle 70%,Canonical order,0.9428571428571428
55,Middle 70%,One adjective,0
55,Middle 70%,Three adjectives,0.2222222222222222
55,Middle 70%,Size initial,0.2222222222222222
55,Middle 70%,Canonical order,1
56,Middle 70%,One adjective,0.5308641975308642
56,Middle 70%,Three adjectives,0.06172839506172839
56,Middle 70%,Size initial,0.6578947368421053
