relevant_property,sharpness,estimate,lower,upper,n_ratings
both,blurred,0.24560200754416003,0.21865805859566467,0.2725459564926554,598
both,sharp,0.20391986142675203,0.17278971187848197,0.2350500109750221,574
first,blurred,0.30042201947386665,0.2752561060955583,0.325587932852175,545
first,sharp,0.3430052735958974,0.32026497092950573,0.36574557626228904,569
second,blurred,0.06226114715763905,0.029252187800169714,0.0952701065151084,628
second,sharp,0.043467601832987854,0.007206964180507813,0.0797282394854679,571
