grouping_type,combination,n_observations,total_plan_vs_average_endpoints,mean_plan_vs_average_endpoints,total_plan_vs_global,total_plan_vs_fully_incremental,relevant_property,sharpness,annotation,initial_adjective,response_length
adjective_family,dimension_color,3034,196.5541152896946,0.0647838217830239,106.64210288345213,286.46612769593713,,,,,
adjective_family,dimension_form,3015,137.0054775974454,0.0454412861019719,14.64174828931327,259.3692069055775,,,,,
adjective_family,color_form,3051,69.11728579052063,0.0226539776435662,135.59478757688592,2.639784004155317,,,,,
experimental_condition,dimension_color,540,45.73337450570192,0.0846914342698183,20.12201794671678,71.34473106468707,second,blurred,,,
experimental_condition,color_form,540,44.64152306150425,0.0826694871509338,69.40328376612075,19.879762356887746,first,blurred,,,
experimental_condition,dimension_form,516,37.85105899115425,0.073354765486733,16.08403821066822,59.61807977164027,first,blurred,,,
experimental_condition,dimension_color,477,36.1057164031237,0.0756933257927121,24.089774327080047,48.121658479167344,second,sharp,,,
experimental_condition,dimension_color,475,35.255281914911734,0.0742216461366562,1.542234111548008,68.96832971827547,first,sharp,,,
experimental_condition,color_form,477,32.99287046383738,0.0691674433204137,52.25283492593141,13.732906001743345,first,sharp,,,
experimental_condition,dimension_form,476,30.72587314112745,0.0645501536578307,5.774180705688124,55.67756557656678,second,sharp,,,
experimental_condition,dimension_color,527,30.50171113399818,0.057878009741932,10.37978810327069,50.62363416472567,first,blurred,,,
experimental_condition,dimension_color,476,29.2221069505159,0.0613909809884787,28.742187089884982,29.702026811146816,both,sharp,,,
experimental_condition,dimension_form,475,27.70827132222901,0.05833320278364,-0.9649543602513873,56.3814970047094,first,sharp,,,
experimental_condition,dimension_form,477,25.17977039970647,0.0527877786157368,12.149419655314766,38.210121144098174,both,sharp,,,
experimental_condition,color_form,540,24.968532810140548,0.0462380237224824,-22.22569214991824,72.16275777019933,second,blurred,,,
experimental_condition,dimension_form,540,23.053833868232285,0.0426922849411708,4.8008004801052575,41.30686725635931,second,blurred,,,
experimental_condition,dimension_color,539,19.735924381443176,0.0366158151789298,21.76610130495161,17.705747457934745,both,blurred,,,
experimental_condition,color_form,477,14.279879035476055,0.0299368533238491,-19.634635946062176,48.19439401701428,second,sharp,,,
experimental_condition,color_form,540,-6.470544014130727,-0.0119824889150569,41.86413920945266,-54.80522723771412,both,blurred,,,
experimental_condition,dimension_form,531,-7.513330125004058,-0.0141493975988777,-23.20173640221171,8.175076152203593,both,blurred,,,
experimental_condition,color_form,477,-41.29497556630689,-0.0865722758203498,13.934857771361497,-96.52480890397528,both,sharp,,,
family_by_completed_utterance,color_form,1185,80.72646217910196,0.0681235967756134,223.0252393969571,-61.57231503875319,,,CF,,
family_by_completed_utterance,dimension_form,544,69.62579663862469,0.1279885967621777,95.7881242447304,43.46346903251897,,,CF,,
family_by_completed_utterance,dimension_color,595,67.0789244243416,0.1127376881081371,78.83055962742532,55.32728922125789,,,CF,,
family_by_completed_utterance,dimension_form,516,64.46333128339806,0.1249289365957326,91.9378722241917,36.988790342604425,,,DCF,,
family_by_completed_utterance,dimension_color,583,55.51077855311876,0.0952157436588657,45.487253567808594,65.53430353842892,,,DCF,,
family_by_completed_utterance,dimension_form,242,54.45361409193825,0.2250149342642076,16.673279877722873,92.23394830615362,,,C,,
family_by_completed_utterance,dimension_color,208,26.10033805378557,0.1254823944893537,-0.1661266601512653,52.36680276772242,,,F,,
family_by_completed_utterance,color_form,677,22.84825672640553,0.0337492713831691,0.141051699819217,45.55546175299185,,,C,,
family_by_completed_utterance,dimension_color,681,22.16207540363233,0.0325434293739094,-3.1766162385316528,47.5007670457963,,,C,,
family_by_completed_utterance,dimension_color,392,11.965495647168026,0.0305242235897143,-1.3918109283649365,25.32280222270099,,,DF,,
family_by_completed_utterance,dimension_form,162,10.0540109690259,0.0620617961050981,22.114302120919376,-2.0062801828675823,,,D,,
family_by_completed_utterance,color_form,724,9.202191496870542,0.0127102092498211,-18.65285258454205,37.05723557828312,,,F,,
family_by_completed_utterance,dimension_color,160,8.574118966946193,0.0535882435434137,7.230143975776194,9.918093958116192,,,D,,
family_by_completed_utterance,dimension_form,62,7.832218419761849,0.1263261035445459,39.70513938234302,-24.040702542819325,,,CDF,,
family_by_completed_utterance,dimension_color,71,7.459865150528307,0.1050685232468775,-31.528768318573825,46.44849861963044,,,DFC,,
family_by_completed_utterance,color_form,18,4.911926741622173,0.2728848189790096,11.232613010658536,-1.4087595274141955,,,CDF,,
family_by_completed_utterance,dimension_form,66,3.363812290472673,0.0509668528859495,-60.17547165532304,66.90309623626838,,,DFC,,
family_by_completed_utterance,dimension_color,175,3.3096611088928576,0.0189123491936734,17.51482697154683,-10.895504753761118,,,DC,,
family_by_completed_utterance,color_form,34,2.787697194841757,0.081991093965934,-23.855888650091902,29.43128303977542,,,DFC,,
