model,speaker_type,total_heldout_elpd,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status,diagnostics_ok,scope,n_points,ppc_r,ppc_r2,ppc_mae,ppc_rmse,slope,intercept,complete_objectives,eligible_for_frontier,heldout_pareto_frontier
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,-2858.9310302734375,-571.7862060546875,10.866403562018313,3485,5,276,1.0,0,0,1056.0,312.0,0,40000,0.0,pass,True,all_cells,6,0.8783100465872437,0.7714285379360861,0.0785889437730104,0.0832278899418186,0.2869803727607943,0.4859624937880316,True,True,True
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,-2859.1218872070312,-571.8243774414062,10.864835244949175,3485,5,276,1.0,0,0,1798.0,851.0,0,40000,0.0,pass,True,all_cells,6,0.878320419643101,0.7714467595620331,0.0785308888489992,0.0831842826332057,0.2873281218879231,0.4857842144288018,True,True,True
