,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
planned_usefulness_signed_order_static,0,-2763.106758594513,64.74837589263916,0.0,1.0,44.94805284321515,0.0,True,log
planned_usefulness_order_static,1,-2763.4085807800293,64.78146076202393,0.3018221855163574,2.1094237467877974e-15,44.944114879360264,0.18453509129439738,True,log
planned_usefulness_mixture_static,2,-2763.5882563591003,64.52513027191162,0.48149776458740234,0.0,44.95224015438498,0.3782337900882774,True,log
planned_usefulness_signed_order,3,-2763.6395840644836,64.54290914535522,0.5328254699707031,0.0,44.93905618270583,0.2709100125959703,True,log
planned_usefulness_mixture,4,-2763.9817061424255,64.80038261413574,0.8749475479125977,0.0,44.957628224382255,0.47061509013067465,True,log
planned_usefulness_order,5,-2764.0637078285217,64.72179079055786,0.9569492340087891,2.0816681711721685e-16,44.924121605741874,0.2728225949473924,True,log
planned_usefulness_mixture_anchored_static,6,-2764.3633728027344,64.88055372238159,1.2566142082214355,0.0,45.01831490226603,0.64557513810378,True,log
planned_usefulness_mixture_anchored,7,-2764.371633529663,64.32498979568481,1.2648749351501465,0.0,44.989913839097696,0.6539907435844725,True,log
incremental_recursive,8,-2774.080696582794,64.80538558959961,10.97393798828125,1.2975731600306517e-15,44.757035144132885,2.8265014824782835,True,log
incremental_static,9,-2774.137773513794,65.12633895874023,11.031014919281006,0.0,44.755327449438745,2.831013723917852,True,log
