parameter_1,parameter_2,posterior_mean_correlation,posterior_median_correlation,posterior_q025,posterior_q975
Pragmatic optimality,Successive-choice contribution,0.01013220416618875,0.01201922204702755,-0.10819005682969579,0.12032388830653375
Pragmatic optimality,Stable-order weighting,0.024636517624265414,0.025137621217022663,-0.09347549973302464,0.1488453036251775
Successive-choice contribution,Stable-order weighting,0.16226347355926524,0.16184813363092154,0.07328294634568354,0.2494201019856269
