fixed,updating,partition,level,factor,n,delta_elpd
G-HO,G-UPD-HO,annotation,D,order_given_set,333,0.0
G-HO,G-UPD-HO,annotation,DC,response,310,2.496578897110549
G-HO,G-UPD-HO,annotation,DC,length,310,-0.906453243606238
G-HO,G-UPD-HO,annotation,DC,set_given_length,310,3.495650164415606
G-HO,G-UPD-HO,annotation,DC,order_given_set,310,-0.09261802369880501
G-HO,G-UPD-HO,annotation,DCF,response,1271,-7.847409610463105
G-HO,G-UPD-HO,annotation,DCF,length,1271,-9.912858905698867
G-HO,G-UPD-HO,annotation,DCF,set_given_length,1271,0.0
G-HO,G-UPD-HO,annotation,DCF,order_given_set,1271,2.06544929523577
G-HO,G-UPD-HO,annotation,DF,response,1023,-26.793876367149046
G-HO,G-UPD-HO,annotation,DF,length,1023,-5.157830541375134
G-HO,G-UPD-HO,annotation,DF,set_given_length,1023,-21.21152076211883
G-HO,G-UPD-HO,annotation,DF,order_given_set,1023,-0.42452506365507825
G-HO,G-UPD-HO,annotation,DFC,response,171,-3.673525260467002
G-HO,G-UPD-HO,annotation,DFC,length,171,-3.595381009068002
G-HO,G-UPD-HO,annotation,DFC,set_given_length,171,0.0
G-HO,G-UPD-HO,annotation,DFC,order_given_set,171,-0.07814425139900827
G-HO,G-UPD-HO,annotation,F,response,1607,6.258746123873053
G-HO,G-UPD-HO,annotation,F,length,1607,8.19031969009914
G-HO,G-UPD-HO,annotation,F,set_given_length,1607,-1.93157356622608
G-HO,G-UPD-HO,annotation,F,order_given_set,1607,0.0
G-HO,G-UPD-HO,annotation,FC,response,248,3.9669128801801357
G-HO,G-UPD-HO,annotation,FC,length,248,1.206254837729408
G-HO,G-UPD-HO,annotation,FC,set_given_length,248,-0.10959797759314913
G-HO,G-UPD-HO,annotation,FC,order_given_set,248,2.870256020043883
G-HO,G-UPD-HO,annotation,FCD,response,7,-0.011539647131380448
G-HO,G-UPD-HO,annotation,FCD,length,7,0.02400039178035196
G-HO,G-UPD-HO,annotation,FCD,set_given_length,7,0.0
G-HO,G-UPD-HO,annotation,FCD,order_given_set,7,-0.03554003891173618
G-HO,G-UPD-HO,annotation,FD,response,11,0.9107462242845084
G-HO,G-UPD-HO,annotation,FD,length,11,-0.030297601601655844
G-HO,G-UPD-HO,annotation,FD,set_given_length,11,-0.0422746409631396
G-HO,G-UPD-HO,annotation,FD,order_given_set,11,0.983318466849302
G-HO,G-UPD-HO,annotation,FDC,response,13,0.8838373967443824
G-HO,G-UPD-HO,annotation,FDC,length,13,0.44327195586092516
G-HO,G-UPD-HO,annotation,FDC,set_given_length,13,0.0
G-HO,G-UPD-HO,annotation,FDC,order_given_set,13,0.44056544088345717
I-HO,I-UPD-HO,combination,color_form,response,3051,6.792711110582801
I-HO,I-UPD-HO,combination,color_form,length,3051,2.023234161919494
I-HO,I-UPD-HO,combination,color_form,set_given_length,3051,1.9104974798408505
I-HO,I-UPD-HO,combination,color_form,order_given_set,3051,2.858979468822462
I-HO,I-UPD-HO,combination,dimension_color,response,3034,-9.593692954939089
I-HO,I-UPD-HO,combination,dimension_color,length,3034,-2.251835817533089
I-HO,I-UPD-HO,combination,dimension_color,set_given_length,3034,-6.366016989110898
I-HO,I-UPD-HO,combination,dimension_color,order_given_set,3034,-0.975840148295138
I-HO,I-UPD-HO,combination,dimension_form,response,3015,-20.99167527025182
I-HO,I-UPD-HO,combination,dimension_form,length,3015,2.3081257812996157
I-HO,I-UPD-HO,combination,dimension_form,set_given_length,3015,-23.68428176243674
I-HO,I-UPD-HO,combination,dimension_form,order_given_set,3015,0.38448071088532654
I-HO,I-UPD-HO,length_observed,1,response,3540,3.300274604515936
