,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
v5,0,-5932.849918842316,101.4700059890747,0.0,0.9490919180747353,66.50828562174284,0.0,True,log
v5a,1,-6263.26478433609,83.53561735153198,330.4148654937744,0.0,62.81619478960821,22.258940779106815,True,log
v5b,2,-6380.923230171204,85.35331392288208,448.07331132888794,0.0,61.24755089392296,26.883060724585985,True,log
ext_v1,3,-6386.624982833862,82.9343318939209,453.77506399154663,0.0,61.89694119835515,27.270569435340096,True,log
baseline,4,-7156.706660270691,93.35031700134277,1223.8567414283752,0.05090808192526475,53.223416155973204,49.60381966772687,False,log
