relevant_property,sharpness,emp_mean,n,pred_mean_production_anchor_sizesharp_2x2_inc_rec,pred_lo_production_anchor_sizesharp_2x2_inc_rec,pred_hi_production_anchor_sizesharp_2x2_inc_rec,pred_mean_production_anchor_sizesharp_2x2_inc_static,pred_lo_production_anchor_sizesharp_2x2_inc_static,pred_hi_production_anchor_sizesharp_2x2_inc_static,pred_mean_production_anchor_sizesharp_2x2_glob_rec,pred_lo_production_anchor_sizesharp_2x2_glob_rec,pred_hi_production_anchor_sizesharp_2x2_glob_rec,pred_mean_production_anchor_sizesharp_2x2_glob_static,pred_lo_production_anchor_sizesharp_2x2_glob_static,pred_hi_production_anchor_sizesharp_2x2_glob_static
both,blurred,0.7456020075441603,598,0.675441,0.643227145075798,0.7059965342283249,0.6750926,0.6424894988536834,0.7057272776961326,0.6811925,0.6486603766679764,0.7114682167768478,0.68098474,0.6489329993724823,0.7105784863233566
both,sharp,0.7039198614267522,574,0.6918616,0.6587141290307045,0.7246258139610291,0.6916838,0.6578950524330139,0.7241276234388352,0.68112826,0.6473724544048309,0.7123071953654289,0.68096596,0.6477796003222466,0.7119071289896964
first,blurred,0.8004220194738666,545,0.71576357,0.683294239640236,0.7474017292261123,0.7157554,0.6823602631688118,0.7473050624132156,0.68224645,0.6498512104153633,0.7138317376375198,0.6820658,0.649009670317173,0.7138014942407608
first,sharp,0.8430052735958975,569,0.73264503,0.6988049328327179,0.764052328467369,0.7329379,0.6995398908853531,0.7637456938624382,0.6817372,0.6489555031061173,0.7134728357195854,0.68155706,0.6480027720332145,0.712233680486679
second,blurred,0.5622611471576391,628,0.63147116,0.5974487453699112,0.6649080961942672,0.6310673,0.5978925004601479,0.6638590902090072,0.6816913,0.6498979330062866,0.7129994481801987,0.6814972,0.650917275249958,0.7109442219138146
second,sharp,0.5434676018329876,571,0.64063895,0.6057856261730195,0.6745521903038024,0.640423,0.6068631738424302,0.6730813577771186,0.68142706,0.6488065645098686,0.7119998738169669,0.68123657,0.649176299571991,0.711899109184742
