pair,candidate,baseline,candidate_total_heldout_elpd,baseline_total_heldout_elpd,delta_heldout_elpd,candidate_mean_fold_elpd,baseline_mean_fold_elpd,candidate_se_fold_elpd,baseline_se_fold_elpd,n_folds
production_anchor_reliabilitybackup_architecture_recursive,production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,-2919.8133544921875,-3002.6516723632812,82.83831787109375,-583.9626708984375,-600.5303344726562,7.625362525753528,9.533503734289797,5
production_anchor_reliabilitybackup_architecture_static,production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,-2915.2264404296875,-3002.614013671875,87.3875732421875,-583.0452880859375,-600.522802734375,8.151918244875619,9.533727837557183,5
production_anchor_reliabilitybackup_semantics_incremental,production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_rec,-2915.2264404296875,-2919.8133544921875,4.5869140625,-583.0452880859375,-583.9626708984375,8.151918244875619,7.625362525753528,5
production_anchor_reliabilitybackup_semantics_global,production_anchor_reliabilitybackup_2x2_glob_static,production_anchor_reliabilitybackup_2x2_glob_rec,-3002.614013671875,-3002.6516723632812,0.03765869140625,-600.522802734375,-600.5303344726562,9.533727837557183,9.533503734289797,5
