pair,candidate,baseline,candidate_diagnostics_ok,baseline_diagnostics_ok,delta_heldout_elpd_candidate_minus_baseline,heldout_elpd_success,baseline_ppc_rmse,candidate_ppc_rmse,ppc_rmse_gain,baseline_ppc_r,candidate_ppc_r,ppc_r_gain,second_property_abs_residual_reduction,worst_first_or_both_abs_residual_harm,ppc_success,candidate_on_heldout_frontier,recommended_for_full_run,decision_basis
production_anchor_reliabilitybackup_architecture_recursive,production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_glob_rec,False,True,82.83831787109375,True,0.1140289278867722,0.0819529254646732,0.032076002422099,0.7278163279789586,0.8932360380072912,0.16541971002833267,0.03524193167686466,0.012969613075256292,False,False,False,heldout_elpd_and_ppc
production_anchor_reliabilitybackup_architecture_static,production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_glob_static,False,True,87.3875732421875,True,0.1140194792898314,0.0819344145194712,0.0320850647703602,0.7393807576635946,0.8932197699317713,0.15383901226817676,0.03527617454528805,0.013023972511291601,False,False,False,heldout_elpd_and_ppc
production_anchor_reliabilitybackup_semantics_incremental,production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_rec,False,False,4.5869140625,True,0.0819529254646732,0.0819344145194712,1.8510945201999363e-05,0.8932360380072912,0.8932197699317713,-1.626807551990961e-05,4.30345535277904e-05,3.719329833989926e-05,False,False,False,heldout_elpd_and_ppc
production_anchor_reliabilitybackup_semantics_global,production_anchor_reliabilitybackup_2x2_glob_static,production_anchor_reliabilitybackup_2x2_glob_rec,True,True,0.03765869140625,True,0.1140289278867722,0.1140194792898314,9.448596940797582e-06,0.7278163279789586,0.7393807576635946,0.011564429684636002,8.791685104397873e-06,-9.059906005901008e-06,False,True,False,heldout_elpd_and_ppc
