model,speaker_type,total_heldout_elpd,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status,diagnostics_ok,scope,n_points,ppc_r,ppc_r2,ppc_mae,ppc_rmse,slope,intercept,complete_objectives,eligible_for_frontier,heldout_pareto_frontier
production_anchor_reliabilitybackup_2x2_glob_static,production_anchor_reliabilitybackup_2x2_glob_static,-3002.614013671875,-600.522802734375,9.533727837557183,3485,5,275,1.0,0,0,6388.0,2961.0,0,40000,0.0,pass,True,all_cells,6,0.7393807576635946,0.5466839048031912,0.1039763699904074,0.1140194792898314,0.0009292211371006,0.6806908814844176,True,True,True
production_anchor_reliabilitybackup_2x2_inc_static,production_anchor_reliabilitybackup_2x2_inc_static,-2915.2264404296875,-583.0452880859375,8.151918244875619,3485,5,275,1.37,705,580,9.0,12.0,2403,40000,0.060075,fail,False,all_cells,6,0.8932197699317713,0.7978415573969665,0.0782419950698803,0.0819344145194712,0.3034428886033905,0.4712148978121226,True,False,False
production_anchor_reliabilitybackup_2x2_inc_rec,production_anchor_reliabilitybackup_2x2_inc_rec,-2919.8133544921875,-583.9626708984375,7.625362525753528,3485,5,275,1.37,504,287,9.0,35.0,252,40000,0.0063,fail,False,all_cells,6,0.8932360380072912,0.7978706195949631,0.0782639295791576,0.0819529254646732,0.3032326210190268,0.4713687939821759,True,False,False
production_anchor_reliabilitybackup_2x2_glob_rec,production_anchor_reliabilitybackup_2x2_glob_rec,-3002.6516723632812,-600.5303344726562,9.533503734289797,3485,5,275,1.0,0,0,6127.0,2886.0,0,40000,0.0,pass,True,all_cells,6,0.7278163279789586,0.529716607272775,0.1039881220395357,0.1140289278867722,0.0008527436029258,0.6807385079809305,True,True,False
