model,speaker_type,total_heldout_elpd,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status,diagnostics_ok,scope,n_points,ppc_r,ppc_r2,ppc_mae,ppc_rmse,slope,intercept
production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_logalpha_2x2_inc_rec,-2858.9310302734375,-571.7862060546875,10.866403562018313,3485,5,276,1.0,0,0,1056.0,312.0,0,40000,0.0,pass,True,all_cells,6,0.8783100465872437,0.7714285379360861,0.0785889437730104,0.0832278899418186,0.2869803727607943,0.4859624937880316
production_anchor_reliabilitybackup_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_logalpha_2x2_inc_static,-2859.1218872070312,-571.8243774414062,10.864835244949175,3485,5,276,1.0,0,0,1798.0,851.0,0,40000,0.0,pass,True,all_cells,6,0.878320419643101,0.7714467595620331,0.0785308888489992,0.0831842826332057,0.2873281218879231,0.4857842144288018
production_anchor_reliabilitybackup_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_logalpha_2x2_glob_static,-3002.6205444335938,-600.5241088867188,9.532576466248544,3485,5,276,1.0,0,0,5896.0,2871.0,0,40000,0.0,pass,True,all_cells,6,0.4645942843080178,0.2158478490116792,0.1040686479146272,0.1140440795078414,0.000714591656089,0.6808368528322424
production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_logalpha_2x2_glob_rec,-3002.6588134765625,-600.5317626953125,9.535093472972283,3485,5,276,1.0,0,0,5792.0,3066.0,0,40000,0.0,pass,True,all_cells,6,0.4062078111409588,0.1650047858319288,0.10408183047523,0.1140556179707248,0.0006169812453986,0.6809009167475647
