relevant_property,sharpness,emp_mean,n,pred_mean_production_anchor_reliabilitybackup_2x2_inc_rec,pred_lo_production_anchor_reliabilitybackup_2x2_inc_rec,pred_hi_production_anchor_reliabilitybackup_2x2_inc_rec,pred_mean_production_anchor_reliabilitybackup_2x2_inc_static,pred_lo_production_anchor_reliabilitybackup_2x2_inc_static,pred_hi_production_anchor_reliabilitybackup_2x2_inc_static,pred_mean_production_anchor_reliabilitybackup_2x2_glob_rec,pred_lo_production_anchor_reliabilitybackup_2x2_glob_rec,pred_hi_production_anchor_reliabilitybackup_2x2_glob_rec,pred_mean_production_anchor_reliabilitybackup_2x2_glob_static,pred_lo_production_anchor_reliabilitybackup_2x2_glob_static,pred_hi_production_anchor_reliabilitybackup_2x2_glob_static
both,blurred,0.7456020075441603,598,0.6684199,0.6380175173282623,0.6995322301983833,0.6683827,0.6370393514633179,0.6994507074356079,0.6813895,0.6508260652422905,0.7123764798045158,0.6814067,0.6509206265211105,0.7126690164208412
both,sharp,0.7039198614267522,574,0.6756051,0.64427699893713,0.706497973203659,0.6756288,0.6442753314971924,0.7070843383669854,0.68149954,0.6504264205694199,0.7121002718806266,0.68151623,0.6503615319728852,0.7120709210634232
first,blurred,0.8004220194738666,545,0.7131018,0.6809706926345825,0.7440505176782608,0.71315366,0.6809784129261971,0.7441884323954582,0.68128246,0.6482214391231537,0.712991127371788,0.6812915,0.6485765755176545,0.7127406895160675
first,sharp,0.8430052735958975,569,0.75238603,0.7210456967353821,0.7826461732387542,0.75239325,0.7214627012610435,0.7825972989201546,0.68148005,0.6494086965918541,0.713526476919651,0.68149006,0.649319052696228,0.7135905340313912
second,blurred,0.5622611471576391,628,0.64160854,0.6096978485584259,0.6730008214712143,0.64149696,0.6096390068531037,0.6734787210822105,0.6812156,0.651470710337162,0.7107235923409462,0.68120867,0.6510456681251526,0.710952228307724
second,sharp,0.5434676018329876,571,0.6502675,0.6164522886276245,0.6841341227293014,0.650293,0.6168948337435722,0.6831988647580147,0.6811443,0.6492474406957627,0.7127932146191597,0.6811336,0.6492895081639289,0.7128412783145904
