condition,annotation,probs_exp,se_exp,conditions,annotation,mean_probs_model,se_model
color_relevant_sharp,9,0.0,0.0,color_relevant_sharp,9,0.01822726382700307,9.306957464451059e-05
color_relevant_sharp,10,0.01997420634920635,0.006070427023419491,color_relevant_sharp,10,0.0832295634920635,0.00018564720262563656
color_relevant_sharp,11,0.0,0.0,color_relevant_sharp,11,0.06293214285714285,0.0001561869168650174
color_relevant_sharp,12,0.0,0.0,color_relevant_sharp,12,0.018180334654757924,9.129549881601326e-05
color_relevant_sharp,13,0.019605158730158726,0.0061164037970169415,color_relevant_sharp,13,0.012691158639381679,7.888953490124248e-05
color_relevant_sharp,14,0.0,0.0,color_relevant_sharp,14,0.018187133664399547,9.148545384275088e-05
size_relevant_blurred,0,0.056209386281588454,0.009870593314946047,size_relevant_blurred,0,0.14180776173285198,0.00025603096834225444
size_relevant_blurred,1,0.04328339350180505,0.008704883518324732,size_relevant_blurred,1,0.09436913357400722,0.00013691519948037556
size_relevant_blurred,2,0.2999296028880866,0.019480630702464013,size_relevant_blurred,2,0.0955557761732852,0.00013861492667753742
size_relevant_blurred,3,0.3651425992779783,0.020191084247633873,size_relevant_blurred,3,0.07032129963898917,0.0001219759948357165
size_relevant_blurred,4,0.03229241877256318,0.007489974270976173,size_relevant_blurred,4,0.09559169675090252,0.00013951164494203133
size_relevant_blurred,5,0.005546931407942238,0.0030545820548267084,size_relevant_blurred,5,0.11258718411552347,0.00017903551776755802
size_relevant_blurred,6,0.0018014440433212998,0.0018354800336928638,size_relevant_blurred,6,0.01746117304249611,8.939832272570949e-05
size_relevant_blurred,7,0.03991696750902527,0.008405236934435116,size_relevant_blurred,7,0.09707418772563177,0.00014051875695680888
size_relevant_blurred,8,0.08642960288808664,0.01229930520591579,size_relevant_blurred,8,0.055405956678700366,0.00011406772236239647
size_relevant_blurred,9,0.0,0.0,size_relevant_blurred,9,0.01802974804460001,8.949196248476423e-05
size_relevant_blurred,10,0.03756317689530686,0.008135549472398569,size_relevant_blurred,10,0.08267545126353791,0.00012908268877868178
size_relevant_blurred,11,0.009138989169675088,0.004018843114036367,size_relevant_blurred,11,0.07253483754512635,0.00012013983114248868
size_relevant_blurred,12,0.003568592057761733,0.0025771666576060335,size_relevant_blurred,12,0.01798021942661284,8.954636436419402e-05
size_relevant_blurred,13,0.01610649819494585,0.005407657555177709,size_relevant_blurred,13,0.011023716927640518,7.262499229202676e-05
size_relevant_blurred,14,0.0034981949458483754,0.0024618688824445834,size_relevant_blurred,14,0.018068820087462058,8.989983273344432e-05
size_relevant_sharp,0,0.26909760956175294,0.01958962877389766,size_relevant_sharp,0,0.141246015936255,0.0002582908670328607
size_relevant_sharp,1,0.045928286852589637,0.009322382260077085,size_relevant_sharp,1,0.09404462151394422,0.00014290003867026133
size_relevant_sharp,2,0.2048864541832669,0.01844511701532039,size_relevant_sharp,2,0.09625956175298804,0.00014281237915311068
size_relevant_sharp,3,0.23098207171314739,0.018837375420970703,size_relevant_sharp,3,0.07116215139442231,0.00012638169484950075
size_relevant_sharp,4,0.021964143426294817,0.006355588225369023,size_relevant_sharp,4,0.09657330677290837,0.00014408357525564518
size_relevant_sharp,5,0.0,0.0,size_relevant_sharp,5,0.11193924302788844,0.00017947419521819886
size_relevant_sharp,6,0.0,0.0,size_relevant_sharp,6,0.01736493439953668,9.012090904458148e-05
size_relevant_sharp,7,0.017898406374501987,0.005798412656913248,size_relevant_sharp,7,0.09793147410358566,0.00014699377247132675
size_relevant_sharp,8,0.09384262948207168,0.012856419841864968,size_relevant_sharp,8,0.055137051792828684,0.0001179190912706841
size_relevant_sharp,9,0.0019760956175298803,0.0020489246188613894,size_relevant_sharp,9,0.017869151215816705,9.204589733683616e-05
size_relevant_sharp,10,0.10138446215139439,0.013228947782930467,size_relevant_sharp,10,0.08222689243027888,0.00013467762351075896
size_relevant_sharp,11,0.0020836653386454183,0.002044997062081237,size_relevant_sharp,11,0.07197290836653386,0.00012751601688373206
size_relevant_sharp,12,0.0,0.0,size_relevant_sharp,12,0.01799050658868993,9.1176306262909e-05
size_relevant_sharp,13,0.00992231075697211,0.004413435964104817,size_relevant_sharp,13,0.01103602205921899,7.293309858860133e-05
size_relevant_sharp,14,0.0,0.0,size_relevant_sharp,14,0.01792848691604977,9.197877664657843e-05
