candidate,baseline,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,target_harm_ok,forward_gate_pass,rank_score,recommended_for_gpu_pilot,utterance_rmse_gate,category_rmse_gate,target_residual_gate,max_target_harm
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,0.0,0.013669059343471957,-0.00860549686797889,0.14629899356121961,0.07405202807710756,False,False,0.15136255603671267,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,3.0,0.5,0.013648341514433837,-0.00947294014677617,0.1466387644360894,0.07764375088588585,False,False,0.15081416580374707,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,0.5,0.013676844272590569,-0.00946366384769954,0.14656290558140067,0.07764364424945105,False,False,0.1507760860062917,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,3.0,1.0,0.013643487391409095,-0.010021561601609212,0.14659022317502352,0.07983720414192666,False,False,0.1502121489648234,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,1.0,0.013672221323970252,-0.010012286842197626,0.14651435030393006,0.0798371217198788,False,False,0.1501742847857027,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,3.0,1.5,0.013637002453477612,-0.010364858793418277,0.1457654556861046,0.0811731940586238,False,False,0.14903759934616395,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,1.5,0.013665876865040574,-0.010355588008656946,0.14568948637655854,0.08117312653773714,False,False,0.14899977523294217,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,3.0,2.0,0.013631743640610067,-0.010577002413479482,0.14517347565464594,0.08198558324800123,False,False,0.14822821688177654,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,2.0,0.013660702154080745,-0.01056773118242908,0.1450975344943247,0.08198552445826371,False,False,0.14819050546597637,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,3.0,3.0,0.013625644071090903,-0.01078659186161629,0.14451326179290488,0.0827786932742807,False,False,0.1473523140023795,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,3.0,3.0,0.013654683293515976,-0.010777323775157506,0.14443734375121137,0.08277864341941912,False,False,0.14731470326956983,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,3.0,0.0136754353198697,0.0065508378707328195,0.12685310276107242,0.07871607662962068,False,False,0.14707937595167495,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.5,3.0,0.01368242629167303,0.006545742234727443,0.12684237567124268,0.07871601469666947,False,False,0.14707054419764315,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,1.5,0.0,0.01441791536468183,0.004454237533197833,0.12767488859313364,0.04636913910508156,True,True,0.1465470414910133,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,1.5,0.0,0.014429573206151833,0.004448669543376974,0.12763682441505425,0.046392861753702164,True,True,0.14651506716458307,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,1.0,0.5,0.014375963744441542,0.007783582284892562,0.1203574007747775,0.04811060121135105,True,True,0.1425169468041116,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,1.0,0.5,0.014382944909763384,0.007775530330034697,0.12033064397034106,0.04811033671573986,True,True,0.14248911921013913,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.5,0.5,0.024616219671283815,0.03688001704979684,0.07940388012136007,0.41895218566060066,False,False,0.14090011684244072,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.5,0.5,0.024591422661735862,0.03686880119174635,0.079374035703192,0.4189032018184662,False,False,0.14083425955667422,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,2.0,0.013511181476845838,0.007586693273426873,0.11955546069872436,0.07105196704940189,False,False,0.14065333544899708,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.5,2.0,0.01351769093476557,0.007581884589457848,0.11954451900889036,0.071051874848467,False,False,0.14064409453311377,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.5,0.5,0.0,0.019694120938338847,0.03500976554647143,0.08120185617830546,0.00957057997584343,True,True,0.13590574266311573,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,0.5,0.0,0.019693400656151758,0.035000216277747756,0.08118739255245716,0.009559288620948792,True,True,0.13588100948635667,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.5,0.0,1.0,0.01784945843286656,0.03588337810555797,0.08128877465154917,0.0407104566693306,True,True,0.1350216111899737,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.5,0.0,1.0,0.017845511124722394,0.03588367050028791,0.08128803965177328,0.04071149602532387,True,True,0.1350172212767836,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,1.5,0.013258163213570678,0.008390405116913018,0.11193748725560364,0.06332838227824558,False,False,0.13358605558608733,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.5,1.5,0.013264149500482159,0.008385814712785239,0.11192629192006645,0.06332826306895603,False,False,0.13357625613333385,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,3.0,0.0,3.0,0.01612330971368177,0.02758337751637934,0.0864722794369899,0.5232819207012653,False,False,0.130178966667051,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,3.0,0.0,3.0,0.016092127146670118,0.02755524635777378,0.0864388497295894,0.5232767462730408,False,False,0.1300862232340333,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,1.5,0.0,0.0,0.024891676286920683,0.05048195278030794,0.053170109526755216,0.1584656871855259,False,False,0.12854373859398383,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,1.5,0.0,0.0,0.02487964147590277,0.05046244332674323,0.0531583191692251,0.15846283733844757,False,False,0.12850040397187112,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_static,principled_salience_stop_regularized_2x2_inc_static,context_fixed,0.0,0.5,1.0,0.012679180986922722,0.00921122898794308,0.10001221274939236,0.05089608644918789,False,False,0.12190262272425816,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.5,1.0,0.01268425455254786,0.009206843180462224,0.10000063473340925,0.05089591881112446,False,False,0.12189173246641934,False,0.005,0.02,0.03,0.05
