conditions,relevant_property,sharpness,utterance_code,utterance_label,n,condition_n,empirical_proportion
ercf,first,sharp,11,FD,0,504,0.0
ercf,first,sharp,12,FDC,0,504,0.0
ercf,first,sharp,13,FC,11,504,0.021825396825396824
ercf,first,sharp,14,FCD,0,504,0.0
erdc,first,blurred,0,D,31,554,0.05595667870036101
erdc,first,blurred,1,DC,24,554,0.04332129963898917
erdc,first,blurred,2,DCF,166,554,0.2996389891696751
erdc,first,blurred,3,DF,202,554,0.36462093862815886
erdc,first,blurred,4,DFC,18,554,0.032490974729241874
erdc,first,blurred,5,C,3,554,0.005415162454873646
erdc,first,blurred,6,CD,1,554,0.0018050541516245488
erdc,first,blurred,7,CDF,22,554,0.039711191335740074
erdc,first,blurred,8,CF,48,554,0.08664259927797834
erdc,first,blurred,9,CFD,0,554,0.0
erdc,first,blurred,10,F,21,554,0.03790613718411552
erdc,first,blurred,11,FD,5,554,0.009025270758122744
erdc,first,blurred,12,FDC,2,554,0.0036101083032490976
erdc,first,blurred,13,FC,9,554,0.016245487364620937
erdc,first,blurred,14,FCD,2,554,0.0036101083032490976
erdc,first,sharp,0,D,135,502,0.2689243027888446
erdc,first,sharp,1,DC,23,502,0.045816733067729085
erdc,first,sharp,2,DCF,103,502,0.2051792828685259
erdc,first,sharp,3,DF,116,502,0.23107569721115537
erdc,first,sharp,4,DFC,11,502,0.021912350597609563
erdc,first,sharp,5,C,0,502,0.0
erdc,first,sharp,6,CD,0,502,0.0
erdc,first,sharp,7,CDF,9,502,0.017928286852589643
erdc,first,sharp,8,CF,47,502,0.09362549800796813
erdc,first,sharp,9,CFD,1,502,0.00199203187250996
erdc,first,sharp,10,F,51,502,0.10159362549800798
erdc,first,sharp,11,FD,1,502,0.00199203187250996
erdc,first,sharp,12,FDC,0,502,0.0
erdc,first,sharp,13,FC,5,502,0.0099601593625498
erdc,first,sharp,14,FCD,0,502,0.0
erdf,first,blurred,0,D,39,543,0.0718232044198895
erdf,first,blurred,1,DC,35,543,0.06445672191528545
erdf,first,blurred,2,DCF,145,543,0.26703499079189685
erdf,first,blurred,3,DF,114,543,0.20994475138121546
erdf,first,blurred,4,DFC,15,543,0.027624309392265192
erdf,first,blurred,5,C,78,543,0.143646408839779
erdf,first,blurred,6,CD,1,543,0.001841620626151013
erdf,first,blurred,7,CDF,13,543,0.02394106813996317
erdf,first,blurred,8,CF,88,543,0.16206261510128914
erdf,first,blurred,9,CFD,1,543,0.001841620626151013
erdf,first,blurred,10,F,3,543,0.0055248618784530384
erdf,first,blurred,11,FD,0,543,0.0
erdf,first,blurred,12,FDC,0,543,0.0
erdf,first,blurred,13,FC,11,543,0.020257826887661142
erdf,first,blurred,14,FCD,0,543,0.0
erdf,first,sharp,0,D,127,502,0.25298804780876494
erdf,first,sharp,1,DC,32,502,0.06374501992031872
erdf,first,sharp,2,DCF,110,502,0.21912350597609562
erdf,first,sharp,3,DF,108,502,0.2151394422310757
erdf,first,sharp,4,DFC,13,502,0.025896414342629483
erdf,first,sharp,5,C,40,502,0.0796812749003984
erdf,first,sharp,6,CD,0,502,0.0
erdf,first,sharp,7,CDF,8,502,0.01593625498007968
erdf,first,sharp,8,CF,50,502,0.099601593625498
erdf,first,sharp,9,CFD,0,502,0.0
erdf,first,sharp,10,F,3,502,0.00597609561752988
erdf,first,sharp,11,FD,1,502,0.00199203187250996
erdf,first,sharp,12,FDC,3,502,0.00597609561752988
erdf,first,sharp,13,FC,6,502,0.01195219123505976
erdf,first,sharp,14,FCD,1,502,0.00199203187250996
zrcf,second,blurred,0,D,0,567,0.0
zrcf,second,blurred,1,DC,0,567,0.0
zrcf,second,blurred,2,DCF,23,567,0.04056437389770723
zrcf,second,blurred,3,DF,9,567,0.015873015873015872
zrcf,second,blurred,4,DFC,5,567,0.008818342151675485
zrcf,second,blurred,5,C,1,567,0.001763668430335097
zrcf,second,blurred,6,CD,0,567,0.0
zrcf,second,blurred,7,CDF,0,567,0.0
zrcf,second,blurred,8,CF,117,567,0.20634920634920634
zrcf,second,blurred,9,CFD,1,567,0.001763668430335097
zrcf,second,blurred,10,F,388,567,0.6843033509700176
zrcf,second,blurred,11,FD,1,567,0.001763668430335097
zrcf,second,blurred,12,FDC,0,567,0.0
zrcf,second,blurred,13,FC,22,567,0.03880070546737213
zrcf,second,blurred,14,FCD,0,567,0.0
zrcf,second,sharp,0,D,0,504,0.0
zrcf,second,sharp,1,DC,0,504,0.0
zrcf,second,sharp,2,DCF,10,504,0.01984126984126984
zrcf,second,sharp,3,DF,17,504,0.03373015873015873
zrcf,second,sharp,4,DFC,3,504,0.005952380952380952
zrcf,second,sharp,5,C,0,504,0.0
zrcf,second,sharp,6,CD,0,504,0.0
zrcf,second,sharp,7,CDF,2,504,0.003968253968253968
zrcf,second,sharp,8,CF,82,504,0.1626984126984127
zrcf,second,sharp,9,CFD,0,504,0.0
zrcf,second,sharp,10,F,376,504,0.746031746031746
zrcf,second,sharp,11,FD,0,504,0.0
zrcf,second,sharp,12,FDC,3,504,0.005952380952380952
zrcf,second,sharp,13,FC,11,504,0.021825396825396824
zrcf,second,sharp,14,FCD,0,504,0.0
zrdc,second,blurred,0,D,0,567,0.0
zrdc,second,blurred,1,DC,0,567,0.0
zrdc,second,blurred,2,DCF,15,567,0.026455026455026454
zrdc,second,blurred,3,DF,0,567,0.0
zrdc,second,blurred,4,DFC,8,567,0.014109347442680775
zrdc,second,blurred,5,C,356,567,0.6278659611992945
zrdc,second,blurred,6,CD,0,567,0.0
zrdc,second,blurred,7,CDF,3,567,0.005291005291005291
zrdc,second,blurred,8,CF,149,567,0.26278659611992944
zrdc,second,blurred,9,CFD,0,567,0.0
zrdc,second,blurred,10,F,25,567,0.04409171075837742
zrdc,second,blurred,11,FD,0,567,0.0
zrdc,second,blurred,12,FDC,0,567,0.0
zrdc,second,blurred,13,FC,11,567,0.019400352733686066
zrdc,second,blurred,14,FCD,0,567,0.0
zrdc,second,sharp,0,D,0,504,0.0
zrdc,second,sharp,1,DC,1,504,0.001984126984126984
zrdc,second,sharp,2,DCF,1,504,0.001984126984126984
zrdc,second,sharp,3,DF,0,504,0.0
zrdc,second,sharp,4,DFC,3,504,0.005952380952380952
zrdc,second,sharp,5,C,361,504,0.7162698412698413
zrdc,second,sharp,6,CD,0,504,0.0
zrdc,second,sharp,7,CDF,2,504,0.003968253968253968
zrdc,second,sharp,8,CF,116,504,0.23015873015873015
zrdc,second,sharp,9,CFD,0,504,0.0
zrdc,second,sharp,10,F,10,504,0.01984126984126984
zrdc,second,sharp,11,FD,0,504,0.0
zrdc,second,sharp,12,FDC,0,504,0.0
zrdc,second,sharp,13,FC,10,504,0.01984126984126984
zrdc,second,sharp,14,FCD,0,504,0.0
zrdf,second,blurred,0,D,0,567,0.0
zrdf,second,blurred,1,DC,1,567,0.001763668430335097
zrdf,second,blurred,2,DCF,9,567,0.015873015873015872
zrdf,second,blurred,3,DF,0,567,0.0
zrdf,second,blurred,4,DFC,6,567,0.010582010582010581
zrdf,second,blurred,5,C,29,567,0.05114638447971781
zrdf,second,blurred,6,CD,0,567,0.0
zrdf,second,blurred,7,CDF,0,567,0.0
zrdf,second,blurred,8,CF,136,567,0.23985890652557318
zrdf,second,blurred,9,CFD,0,567,0.0
zrdf,second,blurred,10,F,372,567,0.656084656084656
zrdf,second,blurred,11,FD,0,567,0.0
zrdf,second,blurred,12,FDC,0,567,0.0
zrdf,second,blurred,13,FC,14,567,0.024691358024691357
zrdf,second,blurred,14,FCD,0,567,0.0
zrdf,second,sharp,0,D,0,503,0.0
zrdf,second,sharp,1,DC,1,503,0.0019880715705765406
zrdf,second,sharp,2,DCF,4,503,0.007952286282306162
zrdf,second,sharp,3,DF,0,503,0.0
zrdf,second,sharp,4,DFC,5,503,0.009940357852882704
zrdf,second,sharp,5,C,57,503,0.11332007952286283
zrdf,second,sharp,6,CD,1,503,0.0019880715705765406
zrdf,second,sharp,7,CDF,2,503,0.003976143141153081
zrdf,second,sharp,8,CF,95,503,0.18886679920477137
zrdf,second,sharp,9,CFD,0,503,0.0
zrdf,second,sharp,10,F,322,503,0.6401590457256461
zrdf,second,sharp,11,FD,0,503,0.0
zrdf,second,sharp,12,FDC,1,503,0.0019880715705765406
zrdf,second,sharp,13,FC,15,503,0.02982107355864811
zrdf,second,sharp,14,FCD,0,503,0.0
